name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3,delta_PCE
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.453595078,0.186997902,-0.453595078,0.666666667,14.37363564,0,0,1,1,285.343,38.77,0,3,3,0,2.9972,3,2,0.352941176,1.88
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.370333532,0.242507458,-0.370333532,0.769230769,22.93466991,10.39900058,6,0,1,216.223,226.38,8,4,0,0,-2.97566,0,0,0,1.19
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.143912294,0.053621204,-0.143912294,0.818181818,0,0,1,0,1,156.249,23.14,0,1,0,0,2.375,1,1,1,1.51
ethylammonium,CCN.[N+](=O)(O)[O-],-0.330748418,0.195752723,-0.330748418,0.857142857,10.9409205,0,2,0,1,108.097,89.39,2,3,0,0,-0.3827,0,0,1,1.8
imidazolium,C1=C[NH+]=CN1,-0.250346067,0.207036975,-0.250346067,0.4,0,0,0,0,0,69.087,29.93,1,0,0,1,-0.1712,1,1,0,1.6
guanidinium iodide,C(=N)(N)N.I,-0.370333532,0.208305199,-0.370333532,0.8,11.46733495,0,3,0,1,186.984,75.89,3,1,0,0,-0.54343,0,0,0,0.5
acrylamide monomer,C=CC(=O)N,-0.36613333,0.212021968,-0.36613333,0.8,5.733667477,0,0,1,1,71.079,43.09,1,1,1,0,-0.3423,0,0,0,2.62
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],-1,0.175009627,-0.323609081,0.882352941,16.89006402,0,1,0,1,502.356,0,0,0,28,0,8.2492,0,0,1,1.66
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,-0.288141687,0.155748344,-0.288141687,0.666666667,0,0,0,2,1,197.193,46.17,1,2,0,0,1.7234,3,1,0,2.6
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,-0.288141672,0.121653523,-0.288141672,0.8,0,0,0,2,1,321.335,46.17,1,2,0,0,4.6208,6,1,0,0.4
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.338721321,0.226549208,-0.338721321,0.461538462,4.983978521,5.689743398,3,0,1,180.167,72.68,1,3,0,0,-1.0397,2,2,0.285714286,2.25
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.327863466,0.217994187,-0.327863466,0.428571429,4.567099648,5.689743398,4,0,1,194.194,61.82,0,3,0,0,-1.0293,2,2,0.375,1.22
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,-0.327869774,0.225916592,-0.327869774,0.461538462,4.567099648,5.689743398,3,0,1,180.167,72.68,1,3,0,0,-1.0397,2,2,0.285714286,-0.73
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,-0.329831976,0.237519767,-0.329831976,0.571428571,15.52049068,7.595762327,1,0,1,125.064,83.55,3,2,2,0,-0.8772,0,0,1,1.89
hypotaurine,C(CS(=O)O)N,-0.329469085,0.188569941,-0.329469085,0.5,10.28641735,0,1,0,1,109.15,63.32,2,2,2,0,-0.8332,0,0,1,1.28
β-alanine(beta-alanine),C(CN)C(=O)O,-0.481195255,0.264095142,-0.481195255,0.5,10.84019487,5.969305288,1,1,2,89.094,63.32,2,2,2,0,-0.5802,0,0,0.666666667,0.8
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,-0.507040687,0.192168228,-0.507040687,0.588235294,9.843390349,0,0,1,1,228.247,46.53,1,3,3,0,2.6318,2,0,0.071428571,3.27
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,-0.504968085,0.174208549,-0.504968085,0.6,10.09050592,0,1,1,2,262.268,65.45,2,3,1,0,3.1906,4,2,0,3.04
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,-0.339821981,0.156800457,-0.339821981,0.631578947,14.35392285,7.595762327,1,0,1,275.244,62.46,2,1,3,0,2.9722,3,1,0.142857143,1.5
octylphosphonic acid,CCCCCCCCP(=O)(O)O,-0.324422009,0.167791595,-0.324422009,0.833333333,9.786823206,7.595762327,0,0,0,194.211,57.53,2,1,7,0,2.5246,0,0,1,0.8
2-fluoroethylamine,C(CF)N,-0.327998518,0.179532821,-0.327998518,0.5,5.733667477,0,1,0,1,63.075,26.02,1,1,1,0,-0.0854,0,0,1,1.12
"2,2-difluoroethylamine",C(C(F)F)N,-0.325486895,0.209900654,-0.325486895,0.6,5.733667477,0,1,0,1,81.065,26.02,1,1,1,0,0.2102,0,0,1,0.84
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,-0.322752642,0.222434473,-0.322752642,0.714285714,5.733667477,6.176298517,1,0,1,135.516,26.02,1,1,0,0,0.9292,0,0,1,0.7
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,-0.48123039,0.18772003,-0.48123039,0.65,5.106527395,5.969305288,0,3,1,281.352,74.68,1,3,11,0,2.5069,1,1,0.666666667,4.54
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-0.416820518,0.224122154,-0.416820518,0.5,4.736862954,5.969305288,0,1,1,238.111,26.3,0,2,2,0,2.4735,1,0,0,2.2
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-0.464638671,0.234952664,-0.464638671,0.413793103,18.94745182,23.87722115,0,4,1,488.671,105.2,4,12,16,0,1.4252,0,0,0.764705882,2.4
3-hexylthiophene,CCCCCCC1=CSC=C1,-0.152155515,0.036951416,0,1,0,0,0,0,0,168.305,0,0,1,5,0,3.8709,1,1,0.6,1.81
adamantane,C1C2CC3CC1CC(C2)C3,-0.047549692,0.003386375,0,1,0,0,0,0,0,136.238,0,0,0,0,0,2.8326,4,0,1,1.15
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,-0.325030481,0.085354671,-0.325030481,0.909090909,5.733667477,0,1,0,1,151.253,26.02,1,1,0,0,1.9139,4,0,1,1.61
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-0.461674306,0.235208642,-0.461674306,0.523809524,14.21058886,17.90791586,0,3,1,296.319,78.9,0,6,10,0,1.5704,0,0,0.4,2.1
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,-0.299087986,0.098090455,-0.299087986,0.727272727,0,0,0,1,1,150.221,17.07,0,1,0,0,2.0116,4,0,0.9,1.12
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,-0.480821322,0.168734007,-0.480821322,0.846153846,5.106527395,5.969305288,0,1,1,180.247,37.3,1,1,1,0,2.2874,4,0,0.909090909,1.41
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,-0.481215172,0.160978662,-0.481215172,0.857142857,5.106527395,5.969305288,0,1,1,194.274,37.3,1,1,2,0,2.6775,4,0,0.916666667,2.06
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,-0.363943925,0.292105873,-0.363943925,0.666666667,11.46733495,5.922529168,0,2,1,138.073,86.18,2,2,2,0,-1.4077,0,0,0.333333333,2.21
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-0.308634799,0.081014199,-0.308634799,0.8,4.565048285,0,0,0,0,278.291,17.07,0,1,3,0,3.326,3,0,0,1.05
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,-0.305364429,0.188767916,-0.305364429,0.666666667,18.09498865,15.19152465,0,0,0,344.325,71.06,0,6,10,0,5.0301,0,0,1,1.08
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,-0.202788909,0.184239844,0,0.441176471,0,0,0,0,0,532.142,0,0,0,3,0,5.5313,3,0,0,2.99
"1,2,4‐triazole",C1=NC=NN1,-0.266136747,0.170553163,-0.266136747,0.6,0,0,2,0,1,69.067,41.57,1,2,0,0,-0.1953,1,1,0,2
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,-0.376047653,0.148789653,-0.376047653,0.727272727,11.05045608,0,2,0,1,231.118,38.05,2,1,1,0,2.1046,1,0,0,2.4
morpholine,C1COCCN1,-0.378812514,0.182980279,-0.378812514,0.333333333,10.05365156,0,1,0,1,87.122,21.26,1,2,0,0,-0.3938,1,1,1,0.7
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,-0.361801852,0.249779125,-0.361801852,0.5,4.736862954,0,0,2,1,115.088,55.4,1,3,0,0,-1.3406,1,1,0.5,1.96
3-morpholone,C1COCC(=O)N1,-0.369813236,0.232491034,-0.369813236,0.428571429,10.05365156,0,0,1,1,101.105,38.33,1,2,0,0,-0.8672,1,1,0.75,2.17
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,-0.342214401,0.13333901,-0.342214401,0.7,4.983978521,0,1,0,1,132.166,28.68,1,1,0,0,1.87132,2,1,0.125,2.1
4-aminopyridine,C1=CN=CC=C1N,-0.398638991,0.159904548,-0.398638991,0.571428571,5.733667477,0,2,0,1,94.117,38.91,1,2,0,0,0.6638,1,1,0,2.6
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-0.483723718,0.187825956,-0.483723718,0.56,9.720841475,6.176298517,2,0,1,369.368,67.87,1,4,5,0,3.51522,3,2,0.25,2.14
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,-0.236640568,0.114041134,-0.236640568,0.6,0,0,2,0,1,130.15,25.78,0,2,0,0,1.6298,2,2,0,2.2
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,-0.338674824,0.223282269,-0.338674824,0.5,9.967957042,0,2,0,1,136.114,74.43,2,3,0,0,-0.3538,2,2,0,1.72
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,-0.423174856,0.249512666,-0.423174856,0.636363636,10.04804515,7.118392334,0,0,0,157.912,40.46,2,2,1,0,-0.3554,1,0,0,1.98
adenine,C1=NC2=NC=NC(=C2N1)N,-0.381798268,0.212141276,-0.381798268,0.5,10.717646,0,4,0,1,135.13,80.48,2,4,0,0,-0.0649,2,2,0,1.1
cytosine,C1=C(NC(=O)N=C1)N,-0.385103472,0.227983056,-0.385103472,0.625,5.733667477,5.689743398,2,0,1,111.104,71.77,2,3,0,0,-0.6479,1,1,0,2
thiourea ,C(=S)(N)N,-0.376505715,0.229393233,-0.376505715,0.75,11.46733495,0,2,0,1,76.124,52.04,2,1,0,0,-0.8113,0,0,0,1.21
thioacetamide ,CC(=S)N,-0.39355196,0.175639679,-0.39355196,0.75,5.733667477,0,1,0,1,75.136,26.02,1,1,0,0,0.2924,0,0,0.5,1.88
dimethyl sulfide ,CSC,-0.168861688,0.070797169,0,1,0,0,0,0,0,62.137,0,0,1,0,0,0.9792,0,0,1,-0.45
Malonamide,C(C(=O)N)C(=O)N,-0.369231444,0.256628143,-0.369231444,0.571428571,11.46733495,0,0,2,1,102.093,86.18,2,2,2,0,-1.6529,0,0,0.333333333,3.25
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,-0.423158785,0.269255138,-0.423158785,0.875,10.04804515,7.118392334,0,0,0,127.961,40.46,2,3,1,0,-0.5721,1,1,0,2.06
formamid,C(=O)N,-0.37226357,0.252596957,-0.37226357,0.666666667,5.733667477,0,0,1,1,45.041,43.09,1,1,0,0,-0.8985,0,0,0,0.17
d benzylamine,C1=CC=C(C=C1)CN,-0.326497507,0.096405461,-0.326497507,0.875,5.733667477,0,1,0,1,107.156,26.02,1,1,1,0,1.1453,1,0,0.142857143,0.65
benzamide ,C1=CC=C(C=C1)C(=O)N,-0.365599512,0.163772913,-0.365599512,0.777777778,5.733667477,0,0,1,1,121.139,43.09,1,1,1,0,0.7855,1,0,0,0.96
4-fluorobenzamide,C1=CC(=CC=C1C(=O)N)F,-0.365599488,0.173158711,-0.365599488,0.7,5.733667477,0,0,1,1,139.129,43.09,1,1,1,0,0.9246,1,0,0,2.19
4-chlorobenzamide,C1=CC(=CC=C1C(=O)N)Cl,-0.3655995,0.159263699,-0.3655995,0.7,5.733667477,0,0,1,1,155.584,43.09,1,1,1,0,1.4389,1,0,0,1.79
"3,4-Bis(4-bromophenyl)cyclobut-3-ene-1,2-dione",C1=CC(=CC=C1C2=C(C(=O)C2=O)C3=CC=C(C=C3)Br)Br,-0.284820806,0.120386383,-0.284820806,0.7,0,0,0,0,0,392.046,34.14,0,2,2,0,4.1416,3,0,0,2.38
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",CCCCCCCCC1=CC2=C(C=C1)C3=C(S2)C4=C(S3)C=C(C=C4)CCCCCCCC,-0.133601118,0.042133925,0,0.8125,0,0,0,0,0,464.784,0,0,2,14,0,11.0752,4,2,0.533333333,2.77
"4,4′-carbonyldiphthalic anhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,-0.385656692,0.220657741,-0.385656692,0.541666667,9.473725908,23.87722115,0,5,1,322.228,103.81,0,7,2,0,1.5388,4,2,0,2.3
"4,4′(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,-0.385656842,0.227549444,-0.385656842,0.64516129,9.473725908,36.22981819,0,4,1,444.239,86.74,0,6,2,0,3.7185,4,2,0.157894737,2.85
barbituric acid,C1C(=O)NC(=O)NC1=O,-0.277316161,0.252683865,-0.277316161,0.555555556,0,6.031114512,0,4,1,128.087,75.27,2,3,0,0,-1.2575,1,1,0.25,1.2
propanedioic acid,C(C(=O)O)C(=O)O,-0.480805908,0.324747621,-0.480805908,0.571428571,10.21305479,11.93861058,0,2,1,104.061,74.6,2,2,2,0,-0.4543,0,0,0.333333333,1.02
urea,C(=O)(N)N,-0.35184624,0.274595026,-0.35184624,0.75,11.46733495,6.031114512,0,2,1,60.056,69.11,2,1,0,0,-0.9762,0,0,0,0.74
phenylethylammonium iodidePEAI,C1=CC=C(C=C1)CC[NH3+].[I-],-1,0.299535118,-0.357285074,0.8,29.7103076,0,1,0,1,249.095,27.64,1,0,2,0,-2.525,1,0,0.25,1.13
phenylbutylammonium iodidePBAI,C1=CC=C(C=C1)CCCC[NH3+].[I-],-1,0.275822418,-0.357560702,0.916666667,29.7103076,0,1,0,1,277.149,27.64,1,0,4,0,-1.7448,1,0,0.4,0.39
Phenylpropylammonium IodidePPAI,C1=CC=C(C=C1)CCCN.I,-0.330461792,0.083282785,-0.330461792,1,5.733667477,0,1,0,1,263.122,26.02,1,1,3,0,2.1959,1,0,0.333333333,1.86
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O,-0.388490606,0.247150969,-0.388490606,0.5,10.21305479,0,0,1,1,90.078,57.53,2,3,2,0,-1.4599,0,0,0.666666667,3.05
tetramethylammonium chloride,C[N+](C)(C)C.[Cl-],-1,0.395983677,-0.333351019,0.333333333,16.89006402,0,1,0,1,109.6,0,0,0,0,0,-2.6736,0,0,1,2
chlorocholine chloride,C[N+](C)(C)CCCl.[Cl-],-1,0.354223001,-0.329926767,0.375,16.89006402,0,1,0,1,158.072,0,0,0,2,0,-2.0646,0,0,1,0.6
choline chloride,C[N+](C)(C)CCO.[Cl-],-1,0.366512293,-0.39051529,0.375,21.99659141,0,1,0,1,139.626,20.23,1,1,2,0,-3.3111,0,0,1,1
benzyltrimethylammonium chloride,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],-1,0.289646934,-0.327164983,0.583333333,16.89006402,0,1,0,1,185.698,0,0,0,2,0,-1.1032,1,0,0.4,0.5
N-hydroxysuccinimide,C1CC(=O)N(C1=O)O,-0.278511959,0.212624313,-0.278511959,0.5,0,0,0,2,1,115.088,57.61,1,3,0,0,-0.4754,1,1,0.5,2.24
5-chloroindole,C1=CC2=C(C=CN2)C=C1Cl,-0.361174887,0.110176271,-0.361174887,0.6,4.983978521,0,0,0,0,151.596,15.79,1,0,0,0,2.8213,2,1,0,1.89
D-penicillamine,CC(C)([C@H](C(=O)O)N)S,-0.480048071,0.227715685,-0.480048071,0.666666667,10.84019487,5.969305288,1,1,2,149.215,63.32,3,3,2,0,0.1067,0,0,0.8,1.65
N-tert-butyl-2-benzothiazolesulfenamide,CC(C)(C)NSC1=NC2=CC=CC=C2S1,-0.252560258,0.1022442,-0.252560258,0.733333333,0,0,2,0,1,238.381,24.92,1,4,2,0,3.6915,2,1,0.363636364,1.26
18-Crown-6,C1COCCOCCOCCOCCOCCO1,-0.376667636,0.210615069,-0.376667636,0.333333333,28.42117772,0,0,0,0,264.318,55.38,0,6,0,0,0.0996,1,1,1,2.53
Dibenzo-18-Crown-6,C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1,-0.487297493,0.226010866,-0.487297493,0.538461538,28.42117772,0,0,0,0,360.406,55.38,0,6,0,0,2.9488,3,1,0.4,3.84
trifluoroacetamide,C(=O)(C(F)(F)F)N,-0.36184104,0.290436515,-0.36184104,0.714285714,5.733667477,12.08347825,0,1,1,113.038,43.09,1,1,0,0,0.034,0,0,0.5,1.85
"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O,-0.505795795,0.231011059,-0.505795795,0.72,21.68038974,12.35259703,2,0,1,366.261,92.5,4,4,2,0,3.6729,2,0,0.2,3.47
4-aminomethyltetrahydropyran,C1COCCC1CN,-0.381428973,0.158072885,-0.381428973,0.75,10.47053043,0,1,0,1,115.176,35.25,1,2,1,0,0.3717,1,1,1,1.66
1-chlorobutane,CCCCCl,-0.126717152,0.047813894,0,0.8,0,0,0,0,0,92.569,0,0,0,2,0,2.0253,0,0,1,0.79
amino trimethylene phosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,-0.323528859,0.262780753,-0.323528859,0.625,29.36046962,22.78728698,1,0,1,299.049,175.83,6,4,6,0,-1.306,0,0,1,2.53
fumaric acid,C(=C/C(=O)O)\\C(=O)O,-0.47807075,0.301874179,-0.47807075,0.5,10.21305479,11.93861058,0,2,1,116.072,74.6,2,2,2,0,-0.2882,0,0,0,1.3
sodium p-toluenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],-0.744035769,0.375283019,-0.744035769,0.75,4.552749874,29.55728603,0,0,0,194.187,57.2,0,3,1,0,-2.09688,1,0,0.142857143,1.35
4′-heptyl-4-biphenylcarbonitrile,CCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,-0.192437046,0.051168402,-0.192437046,0.904761905,0,0,1,0,1,277.411,23.79,0,1,7,0,5.73818,2,0,0.35,3.05
tris(pentafluorophenyl)boron,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.204098665,0.186821455,0,0.441176471,0,0,0,0,0,511.98,0,0,0,3,0,4.2893,3,0,0,2.05
glutaric acid,C(CC(=O)O)CC(=O)O,-0.481230228,0.280445891,-0.481230228,0.555555556,10.21305479,11.93861058,0,2,1,132.115,74.6,2,2,4,0,0.3259,0,0,0.6,2.37
cyanuric fluoride,C1(=NC(=NC(=N1)F)F)F,-0.16131261,0.223489392,-0.154726243,0.666666667,0,18.23452154,3,0,1,135.048,38.67,0,3,0,0,0.2889,1,1,0,1.84
melamine,C1(=NC(=NC(=N1)N)N)N,-0.367590743,0.247520398,-0.367590743,0.666666667,17.20100243,0,6,0,1,126.123,116.73,3,6,0,0,-1.3818,1,1,0,1.35
cyanuric acid,C1(=O)NC(=O)NC(=O)N1,-0.258986688,0.275287409,-0.258986688,0.666666667,0,17.06923019,0,0,0,129.075,98.58,3,3,0,0,-2.2485,1,1,0,0.66
cyanuric chloride,C1(=NC(=NC(=N1)Cl)Cl)Cl,-0.186832365,0.171556492,-0.186832365,0.666666667,0,0,3,0,1,184.413,38.67,0,3,0,0,1.8318,1,1,0,1.35
thiocyanuric acid,C1(=S)NC(=S)NC(=S)N1,-0.309268954,0.199406968,-0.309268954,0.666666667,14.95193556,0,0,0,0,177.279,47.37,3,3,0,0,1.85937,1,1,0,-5.24
hydrogen octylphosphonate potassium,CCCCCCCCP(=O)(O)[O-].[K+],-0.778623779,0.375235997,-0.778623779,0.769230769,14.35187149,51.38453491,0,0,0,232.301,60.36,1,2,7,0,-1.1034,0,0,1,2.8
"3,5-bis(trifluoromethyl)benzoic acid",C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=O)O,-0.477638947,0.231739619,-0.477638947,0.647058824,5.106527395,18.32190232,0,1,1,258.117,37.3,1,1,1,0,3.4224,1,0,0.222222222,2.64
4-(aminomethyl) benzonitrile,C1=CC(=CC=C1CN)C#N,-0.326497495,0.115602514,-0.326497495,0.7,5.733667477,0,2,0,1,132.166,49.81,1,2,1,0,1.01698,1,0,0.125,3.37
benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.326497507,0.091283282,-0.326497507,0.888888889,5.733667477,0,1,0,1,235.068,26.02,1,1,1,0,1.7633,1,0,0.142857143,1.6
