name,SMILES
"3,4-Bis(4-bromophenyl)cyclobut-3-ene-1,2-dione",C1=CC(=CC=C1C2=C(C(=O)C2=O)C3=CC=C(C=C3)Br)Br
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",CCCCCCCCC1=CC2=C(C=C1)C3=C(S2)C4=C(S3)C=C(C=C4)CCCCCCCC
"4,4′-carbonyldiphthalic anhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O
"4,4′(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O
barbituric acid,C1C(=O)NC(=O)NC1=O
propanedioic acid,C(C(=O)O)C(=O)O
urea,C(=O)(N)N
phenylethylammonium iodidePEAI,C1=CC=C(C=C1)CC[NH3+].[I-]
phenylbutylammonium iodidePBAI,C1=CC=C(C=C1)CCCC[NH3+].[I-]
Phenylpropylammonium IodidePPAI,C1=CC=C(C=C1)CCCN.I
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O
tetramethylammonium chloride,C[N+](C)(C)C.[Cl-]
chlorocholine chloride,C[N+](C)(C)CCCl.[Cl-]
choline chloride,C[N+](C)(C)CCO.[Cl-]
benzyltrimethylammonium chloride,C[N+](C)(C)CC1=CC=CC=C1.[Cl-]
N-hydroxysuccinimide,C1CC(=O)N(C1=O)O
5-chloroindole,C1=CC2=C(C=CN2)C=C1Cl
D-penicillamine,CC(C)([C@H](C(=O)O)N)S
N-tert-butyl-2-benzothiazolesulfenamide,CC(C)(C)NSC1=NC2=CC=CC=C2S1
18-Crown-6,C1COCCOCCOCCOCCOCCO1
Dibenzo-18-Crown-6,C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1
trifluoroacetamide,C(=O)(C(F)(F)F)N
"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O
4-aminomethyltetrahydropyran,C1COCCC1CN
1-chlorobutane,CCCCCl
amino trimethylene phosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O
fumaric acid,C(=C/C(=O)O)\\C(=O)O
sodium p-toluenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
4′-heptyl-4-biphenylcarbonitrile,CCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N
tris(pentafluorophenyl)boron,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
glutaric acid,C(CC(=O)O)CC(=O)O
cyanuric fluoride,C1(=NC(=NC(=N1)F)F)F
melamine,C1(=NC(=NC(=N1)N)N)N
cyanuric acid,C1(=O)NC(=O)NC(=O)N1
cyanuric chloride,C1(=NC(=NC(=N1)Cl)Cl)Cl
thiocyanuric acid,C1(=S)NC(=S)NC(=S)N1
hydrogen octylphosphonate potassium,CCCCCCCCP(=O)(O)[O-].[K+]
