name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
Benzylammonium iodide,C1=CC=C(C=C1)CN.I,nip,19.49,20.4,0.91,(FA0.83MA0.17)0.93Cs0.07Pb- (I0.83Br0.17)3,DOI: 10.1021/acsenergylett.2c02818,Machine-Learning-Assisted Screening of Interface Passivation Materials for Perovskite Solar Cells,
Octylammonium iodide,CCCCCCCC[NH3+].[I-],nip,19.49,19.61,0.12,(FA0.83MA0.17)0.93Cs0.07Pb- (I0.83Br0.17)3,DOI: 10.1021/acsenergylett.2c02818,Machine-Learning-Assisted Screening of Interface Passivation Materials for Perovskite Solar Cells,
selenophene,C1=C[Se]C=C1,nip,23.1,25.37,2.27,(FAPbI3)0.97(MAPbBr3)0.03,DOI: 10.1038/s41467-025-55815-z,Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,nip,21.49,23.37,1.88,Cs0.05FA0.85MA0.10PbI2.91Br0.09          ,DOI: 10.1021/acssuschemeng.2c05527,Defect Passivation by Natural Piperine Molecule Enabling for Stable Perovskite Solar Cells with Efficiencies over 23%,
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,nip,17.51,18.7,1.19,FA0.73MA0.24Cs0.03Pb(I0.97Br0.03)3,DOI: 10.1002/smll.202311755,Dual Defect Passivation at the Buried Interface for Printable Mesoscopic Perovskite Solar Cells with Reduced Open-Circuit Voltage Loss,
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,nip,19.22,20.73,1.51,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.3389/fchem.2020.00825,Radical Molecular Modulator for High-Performance Perovskite Solar Cells,
ethylammonium,CCN.[N+](=O)(O)[O-],nip,20.5,22.3,1.8,FA0.90Cs0.07MA0.03Pb(I0.92Br0.08)3,DOI: 10.1038/s41467-019-10985-5,Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells.,
imidazolium,C1=C[NH+]=CN1,nip,20.5,22.1,1.6,FA0.90Cs0.07MA0.03Pb(I0.92Br0.08)3,DOI: 10.1038/s41467-019-10985-5,Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells.,
guanidinium iodide,C(=N)(N)N.I,nip,20.5,21,0.5,FA0.90Cs0.07MA0.03Pb(I0.92Br0.08)3,DOI: 10.1038/s41467-019-10985-5,Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells.,
acrylamide monomer,C=CC(=O)N,nip,23.43,26.05,2.62,(FA0.95Cs0.05)PbI3)0.975(MAPbBr3)0.025,DOI: 10.1002/advs.202503417,In Situ Construction of Multi‐Functional Polymer Network Toward Durable Perovskite Solar Cells,
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],nip,19.58,21.24,1.66,Cs0.05(FAPbI3)0.83(MAPbBr3)0.17,DOI: 10.1021/acsami.2c09201,Universal Surface Passivation of Organic–Inorganic Halide Perovskite Films by Tetraoctylammonium Chloride for High-Performance and Stable Perovskite Solar Cells,
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,nip,21.1,23.7,2.6,(FAPbI3)0.92(MAPbBr3)0.08 ,DOI: 10.1002/adma.202008405,"Marked Passivation Effect of Naphthalene-1,8-Dicarboximides in High-Performance Perovskite Solar Cells",
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,nip,21.1,21.5,0.4,(FAPbI3)0.92(MAPbBr3)0.08 ,DOI: 10.1002/adma.202008405,"Marked Passivation Effect of Naphthalene-1,8-Dicarboximides in High-Performance Perovskite Solar Cells",
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,nip,20.36,22.61,2.25,(FAPbI3)0.92(MAPbBr3)0.08,DOI: 10.1126/science.aay9698,Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,nip,20.36,21.58,1.22,(FAPbI3)0.92(MAPbBr3)0.08,DOI: 10.1126/science.aay9698,Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,nip,20.36,19.63,-0.73,(FAPbI3)0.92(MAPbBr3)0.08,DOI: 10.1126/science.aay9698,Constructive molecular configurations for surface-defect passivation of perovskite photovoltaics,
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,nip,20.46,22.35,1.89,FA0.93MA0.07PbI3,DOI: 10.1021/jacs.0c09560,Molecular Interaction Regulates the Performance and Longevity of Defect Passivation for Metal Halide Perovskite Solar Cells,
hypotaurine,C(CS(=O)O)N,nip,20.46,21.74,1.28,FA0.93MA0.07PbI3,DOI: 10.1021/jacs.0c09560,Molecular Interaction Regulates the Performance and Longevity of Defect Passivation for Metal Halide Perovskite Solar Cells,
β-alanine(beta-alanine),C(CN)C(=O)O,nip,20.46,21.26,0.8,FA0.93MA0.07PbI3,DOI: 10.1021/jacs.0c09560,Molecular Interaction Regulates the Performance and Longevity of Defect Passivation for Metal Halide Perovskite Solar Cells,
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,nip,19.82,23.09,3.27,FA0.87MA0.13Pb(I0.87Br0.13)3,DOI: 10.1002/anie.202100218,Tautomeric Molecule Acts as a “Sunscreen” for Metal Halide Perovskite Solar Cells,
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,nip,20.18,23.22,3.04,Cs0.05FA0.85MA0.10Pb(I0.90Br0.10)3,DOI: 10.1002/aenm.202200537,Indigo: A Natural Molecular Passivator for Efficient Perovskite Solar Cells,
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,nip,19.7,21.2,1.5,FA0.95MA0.05Pb(I0.95Br0.05)3,DOI: 10.1002/aenm.202200758,Molecular Engineering for Function-Tailored Interface Modifier in High-Performance Perovskite Solar Cells,
octylphosphonic acid,CCCCCCCCP(=O)(O)O,nip,19.7,20.5,0.8,FA0.95MA0.05Pb(I0.95Br0.05)3,DOI: 10.1002/aenm.202200758,Molecular Engineering for Function-Tailored Interface Modifier in High-Performance Perovskite Solar Cells,
2-fluoroethylamine,C(CF)N,nip,22.28,23.4,1.12,FA0.85MA0.1Cs0.05Pb(I0.97Br0.03)3,DOI: 10.1002/aenm.202101454,Fluoroethylamine Engineering for Effective Passivation to Attain 23.4% Efficiency Perovskite Solar Cells with Superior Stability,
"2,2-difluoroethylamine",C(C(F)F)N,nip,22.28,23.12,0.84,FA0.85MA0.1Cs0.05Pb(I0.97Br0.03)3,DOI: 10.1002/aenm.202101454,Fluoroethylamine Engineering for Effective Passivation to Attain 23.4% Efficiency Perovskite Solar Cells with Superior Stability,
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,nip,22.28,22.98,0.7,FA0.85MA0.1Cs0.05Pb(I0.97Br0.03)3,DOI: 10.1002/aenm.202101454,Fluoroethylamine Engineering for Effective Passivation to Attain 23.4% Efficiency Perovskite Solar Cells with Superior Stability,
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,nip,17.58,22.12,4.54,Cs0.05(FA0.83MA0.17)0.95PbI0.83Br0.17,DOI: 10.1002/aenm.202100529,Trap State Passivation by Rational Ligand Molecule Engineering toward Efficient and Stable Perovskite Solar Cells Exceeding 23% Efficiency,
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,nip,20.22,22.42,2.2,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3 ,DOI: 10.1002/aenm.202101394,Additive-Induced Synergies of Defect Passivation and Energetic Modification toward Highly Efficient Perovskite Solar Cells,
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,nip,19,21.4,2.4,FA0.82MA0.13Cs0.05PbI2.87Br0.13,DOI: 10.1002/aenm.201903696,Highly Efficient Perovskite Solar Cells Enabled by Multiple Ligand Passivation,
3-hexylthiophene,CCCCCCC1=CSC=C1,nip,18.08,19.89,1.81,Cs0.05FA0.81MA0.14PbBr0.45I2.55,DOI: 10.1002/aenm.201703143,Surface Electronic Modification of Perovskite Thin Film with Water‐Resistant Electron Delocalized Molecules for Stable and Efficient Photovoltaics,
adamantane,C1C2CC3CC1CC(C2)C3,nip,19.32,20.47,1.15,FA0.81MA0.14Cs0.05Pb(I0.86Br0.14)3,DOI: 10.1002/aenm.201800275,Adamantanes Enhance the Photovoltaic Performance and Operational Stability of Perovskite Solar Cells by Effective Mitigation of Interfacial Defect States,
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,nip,19.32,20.93,1.61,FA0.81MA0.14Cs0.05Pb(I0.86Br0.14)3,DOI: 10.1002/aenm.201800275,Adamantanes Enhance the Photovoltaic Performance and Operational Stability of Perovskite Solar Cells by Effective Mitigation of Interfacial Defect States,
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,nip,20.29,22.39,2.1,FAPbI3,DOI: 10.1002/adma.202008487,"Multifunctional Crosslinking-Enabled Strain-Regulating Crystallization for Stable, Efficient α-FAPbI3-Based Perovskite Solar Cells",
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,nip,20.19,21.31,1.12,Rb0.02(FA0.95Cs0.05)0.98PbI2.91Br0.03Cl0.06,DOI: 10.1002/adfm.202205507,Revealing Steric-Hindrance-Dependent Buried Interface Defect Passivation Mechanism in Efficient and Stable Perovskite Solar Cells with Mitigated Tensile Stress,
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,nip,20.19,21.6,1.41,Rb0.02(FA0.95Cs0.05)0.98PbI2.91Br0.03Cl0.06,DOI: 10.1002/adfm.202205507,Revealing Steric-Hindrance-Dependent Buried Interface Defect Passivation Mechanism in Efficient and Stable Perovskite Solar Cells with Mitigated Tensile Stress,
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,nip,20.19,22.25,2.06,Rb0.02(FA0.95Cs0.05)0.98PbI2.91Br0.03Cl0.06,DOI: 10.1002/adfm.202205507,Revealing Steric-Hindrance-Dependent Buried Interface Defect Passivation Mechanism in Efficient and Stable Perovskite Solar Cells with Mitigated Tensile Stress,
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,nip,20,22.21,2.21,FA0.85MA0.15PbI3,DOI: 10.1002/adfm.202005776,Multifunctional Enhancement for Highly Stable and Efficient Perovskite Solar Cells,
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,nip,18.05,19.1,1.05,Cs0.05FA0.8MA0.15Pb(I0.83Br0.17)3,DOI: 10.1002/adfm.201910710,Multifunctional Phosphorus‐Containing Lewis Acid and Base Passivation Enabling Efficient and Moisture‐Stable Perovskite Solar Cells,
