name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
phenylbutylammonium iodidePBAI,C1=CC=C(C=C1)CCCC[NH3+].[I-],nip,20.71,21.1,0.39,FA0.71MA0.29Pb(I0.96Br0.04)3,DOI: 10.1002/solr.202100805,High-Efficiency and Stable Perovskite Solar Cells Enabled by Low-Dimensional Perovskite Surface Modifiers,
Phenylpropylammonium IodidePPAI,C1=CC=C(C=C1)CCCN.I,nip,20.71,22.57,1.86,FA0.71MA0.29Pb(I0.96Br0.04)3,DOI: 10.1002/solr.202100805,High-Efficiency and Stable Perovskite Solar Cells Enabled by Low-Dimensional Perovskite Surface Modifiers,
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O,nip,20.21,23.26,3.05,FA0.9Cs0.07MA0.03Pb(I0.9Br0.08)3,DOI: 10.1002/solr.202200082,Effective Surface Passivation via Intermolecular Interactions for High-Performance Perovskite Solar Cells,
tetramethylammonium chloride,C[N+](C)(C)C.[Cl-],nip,19.7,21.7,2,FA0.95MA0.05PbI2.85Br0.15,DOI: 10.1002/solr.202101107,Post-Treatment Passivation by Quaternary Ammonium Chloride Zwitterion for Efficient and Stable Perovskite Solar Cells,
chlorocholine chloride,C[N+](C)(C)CCCl.[Cl-],nip,19.7,20.3,0.6,FA0.95MA0.05PbI2.85Br0.15,DOI: 10.1002/solr.202101107,Post-Treatment Passivation by Quaternary Ammonium Chloride Zwitterion for Efficient and Stable Perovskite Solar Cells,
choline chloride,C[N+](C)(C)CCO.[Cl-],nip,19.7,20.7,1,FA0.95MA0.05PbI2.85Br0.15,DOI: 10.1002/solr.202101107,Post-Treatment Passivation by Quaternary Ammonium Chloride Zwitterion for Efficient and Stable Perovskite Solar Cells,
benzyltrimethylammonium chloride,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],nip,19.7,20.2,0.5,FA0.95MA0.05PbI2.85Br0.15,DOI: 10.1002/solr.202101107,Post-Treatment Passivation by Quaternary Ammonium Chloride Zwitterion for Efficient and Stable Perovskite Solar Cells,
N-hydroxysuccinimide,C1CC(=O)N(C1=O)O,nip,19.97,22.21,2.24,FA0.74MA0.26Pb(I0.93Br0.07)3,DOI: 10.1002/solr.202200502,Grain Boundary Defect Controlling of Perovskite via N-Hydroxysuccinimide Post-Treatment Process in Efficient and Stable n–i–p Perovskite Solar Cells,
5-chloroindole,C1=CC2=C(C=CN2)C=C1Cl,nip,20.58,22.47,1.89,FA0.75MA0.25PbI3,DOI: 10.1002/solr.202100995,5-Chloroindole as Interface Modifier to Improve the Efficiency and Stability of Planar Perovskite Solar Cells,
D-penicillamine,CC(C)([C@H](C(=O)O)N)S,nip,22.44,24.09,1.65,FA0.75MA0.25PbI3,DOI: 10.1002/solr.202200567,Simultaneous Chemical Crosslinking of SnO2 and Perovskite for High-Performance Planar Perovskite Solar Cells with Minimized Lead Leakage,
N-tert-butyl-2-benzothiazolesulfenamide,CC(C)(C)NSC1=NC2=CC=CC=C2S1,nip,19.71,20.97,1.26,FA0.63MA0.26Cs0.11Pb(I0.96Br0.04)3,DOI: 10.1002/solr.202200487,High Moisture Stability for Enhanced Quality Perovskite Solar Cells Induced by Front and Back Layer Synergistic Passivation of Perovskite,
18-Crown-6,C1COCCOCCOCCOCCOCCO1,nip,16.75,19.28,2.53,FA0.85Cs0.15PbI3,DOI: 10.1002/solr.202200303,Dibenzo-18-Crown-6-Assisted Inhibition of Cation Migration for Stable Perovskite Solar Cells,
Dibenzo-18-Crown-6,C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1,nip,16.75,20.59,3.84,FA0.85Cs0.15PbI3,DOI: 10.1002/solr.202200303,Dibenzo-18-Crown-6-Assisted Inhibition of Cation Migration for Stable Perovskite Solar Cells,
trifluoroacetamide,C(=O)(C(F)(F)F)N,nip,22.31,24.16,1.85,FA0.85MA0.15PbI3,DOI: 10.1002/solr.202200284,Collaborative Strategy of Multifunctional Groups in Trifluoroacetamide Achieving Efficient and Stable Perovskite Solar Cells,
"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O,nip,16.83,20.3,3.47,Cs0.15FA0.85PbI3,DOI: 10.1002/solr.202200296,Multifunctional Organic Additive for Improving the Open-Circuit Voltage of Perovskite Solar Cells,
4-aminomethyltetrahydropyran,C1COCCC1CN,nip,20.56,22.22,1.66,FA0.75MA0.25PbI3,DOI: 10.1002/solr.202100979,Simultaneously Mitigating Anion and Cation Defects Both in Bulk and Interface for High-Effective Perovskite Solar Cells,
1-chlorobutane,CCCCCl,nip,20.56,21.35,0.79,FA0.75MA0.25PbI3,DOI: 10.1002/solr.202100979,Simultaneously Mitigating Anion and Cation Defects Both in Bulk and Interface for High-Effective Perovskite Solar Cells,
amino trimethylene phosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,nip,20.99,23.52,2.53,Cs0.22FA0.78Pb (Br0.2I0.8)3,DOI: 10.1002/solr.202100464,Multifunctional Molecule Engineered SnO2 for Perovskite Solar Cells with High Efficiency and Reduced Lead Leakage,
fumaric acid,C(=C/C(=O)O)\\C(=O)O,nip,19.18,20.48,1.3,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,DOI: 10.1002/solr.202000732,Improving Performance and Stability of Planar Perovskite Solar Cells Through Passivation Effect with Green Additives,
sodium p-toluenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],nip,18.7,20.05,1.35,Cs0.05MA0.12FA0.83PbI2.55Br0.45,DOI: 10.1002/solr.202000113,Surface Passivation of Perovskite Film by Sodium Toluenesulfonate for Highly Efficient Solar Cells,
4′-heptyl-4-biphenylcarbonitrile,CCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,nip,17.14,20.19,3.05,(FAPbI3)0.87(MAPbBr3)0.13,DOI: 10.1002/solr.201900125,Liquid Crystal Molecule as “Binding Agent” Enables Superior Stable Perovskite Solar Cells with High Fill Factor,
tris(pentafluorophenyl)boron,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,nip,19.55,21.6,2.05,FA0.85MA0.15PbI3,https://doi.org/10.1002/solr.201900072,Novel Surface Passivation for Stable FA0.85MA0.15PbI3 Perovskite Solar Cells with 21.6% Efficiency,
glutaric acid,C(CC(=O)O)CC(=O)O,nip,18.93,21.3,2.37,Cs0.05(FA0.90MA0.10)0.95Pb(I0.90Br0.10)3,DOI: 10.1021/acs.jpclett.0c03566,Efficient and Stable Perovskite Solar Cells Enabled by Dicarboxylic Acid-Supported Perovskite Crystallization,
cyanuric fluoride,C1(=NC(=NC(=N1)F)F)F,nip,19.27,21.11,1.84,FA0.85Cs0.15PbI3,DOI: 10.1021/acsami.1c21081,Several Triazine-Based Small Molecules Assisted in the Preparation of High-Performance and Stable Perovskite Solar Cells by Trap Passivation and Heterojunction Engineering,
melamine,C1(=NC(=NC(=N1)N)N)N,nip,19.27,20.62,1.35,FA0.85Cs0.15PbI3,DOI: 10.1021/acsami.1c21081,Several Triazine-Based Small Molecules Assisted in the Preparation of High-Performance and Stable Perovskite Solar Cells by Trap Passivation and Heterojunction Engineering,
cyanuric acid,C1(=O)NC(=O)NC(=O)N1,nip,19.27,19.93,0.66,FA0.85Cs0.15PbI3,DOI: 10.1021/acsami.1c21081,Several Triazine-Based Small Molecules Assisted in the Preparation of High-Performance and Stable Perovskite Solar Cells by Trap Passivation and Heterojunction Engineering,
cyanuric chloride,C1(=NC(=NC(=N1)Cl)Cl)Cl,nip,19.27,20.62,1.35,FA0.85Cs0.15PbI3,DOI: 10.1021/acsami.1c21081,Several Triazine-Based Small Molecules Assisted in the Preparation of High-Performance and Stable Perovskite Solar Cells by Trap Passivation and Heterojunction Engineering,
thiocyanuric acid,C1(=S)NC(=S)NC(=S)N1,nip,19.27,14.03,-5.24,FA0.85Cs0.15PbI3,DOI: 10.1021/acsami.1c21081,Several Triazine-Based Small Molecules Assisted in the Preparation of High-Performance and Stable Perovskite Solar Cells by Trap Passivation and Heterojunction Engineering,
hydrogen octylphosphonate potassium,CCCCCCCCP(=O)(O)[O-].[K+],nip,19.41,22.21,2.8,(FAPbI3)0.9(MAPbI3)0.05(CsPbI3)0.05,DOI: 10.1021/acsami.2c05956,Defect Passivation by a Multifunctional Phosphate Additive toward Improvements of Efficiency and Stability of Perovskite Solar Cells,
"3,5-bis(trifluoromethyl)benzoic acid",C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=O)O,nip,18.45,21.09,2.64,(FAPbI3)0.85(MAPbBr3)0.15,DOI: 10.1021/acsami.1c18035,Bi(trifluoromethyl) Benzoic Acid-Assisted Shallow Defect Passivation for Perovskite Solar Cells with an Efficiency Exceeding 21%,
4-(aminomethyl) benzonitrile,C1=CC(=CC=C1CN)C#N,nip,20.15,23.52,3.37,FA0.75MA0.25PbI2.43Cl0.57,DOI: 10.1021/acsami.2c09058,Polarized Molecule 4-(Aminomethyl) Benzonitrile Hydrochloride for Efficient and Stable Perovskite Solar Cells,
benzylammonium iodide,C1=CC=C(C=C1)CN.I,nip,20.1,21.7,1.6,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1021/acsami.2c02250,Accelerating Photogenerated Hole Tunneling through Passivation Layers via Reducing Interplanar Spacing for Efficient and Stable Perovskite Solar Cells,
4-chlorobenzylammonium iodide,C1=CC(=CC=C1C[NH3+])Cl.[I-],nip,20.1,19.62,-0.48,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1021/acsami.2c02250,Accelerating Photogenerated Hole Tunneling through Passivation Layers via Reducing Interplanar Spacing for Efficient and Stable Perovskite Solar Cells,
phenethylammonium iodide,C1=CC=C(C=C1)CCN.I,nip,20.1,18.13,-1.97,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1021/acsami.2c02250,Accelerating Photogenerated Hole Tunneling through Passivation Layers via Reducing Interplanar Spacing for Efficient and Stable Perovskite Solar Cells,
methyl 3-sulfamoylthiophene-2-carboxylate,COC(=O)C1=C(C=CS1)S(=O)(=O)N,nip,19.19,22.14,2.95,FA0.71MA0.29PbI2.13Br0.33Cl0.54,DOI: 10.1002/solr.202100731,Sulfonyl and Carbonyl Groups in MSTC Effectively Improve the Performance and Stability of Perovskite Solar Cells,
2-mercaptobenzimidazole,C1=CC=C2C(=C1)NC(=S)N2,nip,19.21,21.7,2.49,Cs0.05(MA0.17FA0.83)0.95Pb(I0.87Br0.13)3,DOI: 10.1021/acsami.2c05605,Efficient Perovskite Solar Cells with Enhanced Thermal Stability by Sulfide Treatment,
histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N,nip,20.13,22.91,2.78,Cs0.15FA0.75MA0.1PbI3,DOI: 10.1021/acsami.2c13585,Multifunctional Histidine Cross-Linked Interface toward Efficient Planar Perovskite Solar Cells,
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,nip,18.18,21.55,3.37,Cs0.12FA0.63MA0.26,DOI: 10.1021/acsami.1c13784,Enhanced Activation Energy Released by Coordination of Bifunctional Lewis Base d-Tryptophan for Highly Efficient and Stable Perovskite Solar Cells,
tetrafluorophthalonitrile,C(#N)C1=C(C(=C(C(=C1F)F)F)F)C#N,nip,19.4,22.82,3.42,FA0.71MA0.29I2.13Br0.33Cl0.54,DOI: 10.1021/acsami.1c07610,Strong Electron Acceptor of a Fluorine-Containing Group Leads to High Performance of Perovskite Solar Cells,
tris(pentafluorophenyl)borane,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,nip,19.07,21.42,2.35,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,DOI: 10.1021/acsami.0c16939,Postpassivation of Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3 Perovskite Films with Tris(pentafluorophenyl)borane,
2-thiophenecarboxamide,C1=CSC(=C1)C(=O)N,nip,17.57,20.53,2.96,(Cs0.18FA0.90MA0.12)Pb(I1.08Br0.12)3,https://doi.org/10.1021/acsami.1c02929,High-Light-Tolerance PbI2 Boosting the Stability and Efficiency of Perovskite Solar Cells,
phenylacetonitrile,C1=CC=C(C=C1)CC#N,nip,18.01,21.09,3.08,FA0.80MA0.15Cs0.05Pb(I0.85Br0.15)3,https://dx.doi.org/10.1021/acsami.0c00762,Electronic Coordination Effect of the Regulator on Perovskite Crystal Growth and Its High-Performance Solar Cells,
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,nip,18.01,20.22,2.21,FA0.80MA0.15Cs0.05Pb(I0.85Br0.15)3,https://dx.doi.org/10.1021/acsami.0c00762,Electronic Coordination Effect of the Regulator on Perovskite Crystal Growth and Its High-Performance Solar Cells,
4-aminobenzonitrile,C1=CC(=CC=C1C#N)N,nip,20.22,21.02,0.8,Cs0.06FA0.79MA0.15PbI2.55Br0.45,DOI: 10.1021/acsami.9b15166,Defect Passivation in Hybrid Perovskite Solar Cells by Tailoring the Electron Density Distribution in Passivation Molecules,
"1,8-octanedithiol-doped",C(CCCCS)CCCS,nip,18.39,19.36,0.97,FA0.95Cs0.05PbI3,DOI: 10.1021/acsami.8b02257,Chelate-Pb Intermediate Engineering for High-Efficiency Perovskite Solar Cells,
triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,nip,18.36,20.22,1.86,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,https://doi.org/10.1002/cssc.202102189,Enhanced Thermal Stability of Planar Perovskite Solar Cells Through Triphenylphosphine Interface Passivation,
"2,3,4,5,6-pentafluorobenzyl phosphonic acid",CC(C(C)(C)C)OP(=O)(C)OCC1=C(C(=C(C(=C1F)F)F)F)F,nip,20.19,22.25,2.06,FAPbI3,https://doi.org/10.1002/cssc.202002707,Moisture-Resistant FAPbI3 Perovskite Solar Cell with 22.25 % Power Conversion Efficiency through Pentafluorobenzyl Phosphonic Acid Passivation,
1-methylimidazole,CN1C=CN=C1,nip,19.88,21.22,1.34,(Cs0.05FA0.95PbI3)0.85(MAPbBr3)0.15,https://doi.org/10.1002/cssc.202101097,Effective Interface Defect Passivation via Employing 1-Methylbenzimidazole for Highly Efficient and Stable Perovskite Solar Cells,
1-methylbenzimidazole,CN1C=NC2=CC=CC=C21,nip,19.48,21.22,1.74,(Cs0.05FA0.95PbI3)0.85(MAPbBr3)0.15,https://doi.org/10.1002/cssc.202101097,Effective Interface Defect Passivation via Employing 1-Methylbenzimidazole for Highly Efficient and Stable Perovskite Solar Cells,
2-(2-hydroxy-5-methylphenyl)benzotriazole,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,nip,21.26,22.46,1.2,FA0.69MA0.31PbI2.53Cl0.47,https://doi.org/10.1016/j.jechem.2021.09.027,UV light absorbers executing synergistic effects of passivating defects and improving photostability for efficient perovskite photovoltaics,
4-trifluoromethyl-benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl,nip,20.75,22.82,2.07,Rb0.05Cs0.10FA0.74MA0.11PbI2.80Br0.08Cl0.12,https://doi.org/10.1016/j.jechem.2022.09.037,Bottom-up holistic carrier management strategy induced synergistically by multiple chemical bonds to minimize energy losses for efficient and stable perovskite solar cells,
benzotrifluoride,C1=CC=C(C=C1)C(F)(F)F,nip,20.75,22.27,1.52,Rb0.05Cs0.10FA0.74MA0.11PbI2.80Br0.08Cl0.12,https://doi.org/10.1016/j.jechem.2022.09.037,Bottom-up holistic carrier management strategy induced synergistically by multiple chemical bonds to minimize energy losses for efficient and stable perovskite solar cells,
benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl,nip,20.75,21.93,1.18,Rb0.05Cs0.10FA0.74MA0.11PbI2.80Br0.08Cl0.12,https://doi.org/10.1016/j.jechem.2022.09.037,Bottom-up holistic carrier management strategy induced synergistically by multiple chemical bonds to minimize energy losses for efficient and stable perovskite solar cells,
"2,5-thiophene dicarboxylic acid ",C1=C(SC(=C1)C(=O)O)C(=O)O,nip,19.31,22.78,3.47,(FAPbI3)0.97(MAPbBr3)0.03,https://doi.org/10.1021/acsaem.2c00304,Multifunctional Passivation Strategy of Cationic and Anionic Defects for Efficient and Stable Perovskite Solar Cells,
N-methyl-N-(thien-2-ylmethyl)amine,CNCC1=CC=CS1,nip,21.11,22.67,1.56,FA0.92MA0.08PbI3,https://doi.org/10.1021/acsaem.1c03842,Interfacial Defect Passivation Effect of N-Methyl-N-(thien-2-ylmethyl)amine for Highly Effective Perovskite Solar Cells,
"1,3-diphenylurea",C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,nip,20.3,21.7,1.4,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,https://doi.org/10.1021/acsaem.2c02313,"Effect of 1,3-Disubstituted Urea Derivatives as Additives on the Efficiency and Stability of Perovskite Solar Cells",
"1,3-ditert-butylurea",CC(C)(C)NC(=O)NC(C)(C)C,nip,20.3,21.2,0.9,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,https://doi.org/10.1021/acsaem.2c02313,"Effect of 1,3-Disubstituted Urea Derivatives as Additives on the Efficiency and Stability of Perovskite Solar Cells",
thymine,CC1=CNC(=O)NC1=O,nip,17.78,19.46,1.68,Cs0.175MA0.075FA0.75PbI2.92Br0.08,https://doi.org/10.1021/acsaem.0c03068,Thymine as a Biocompatible Surface Passivator for a Highly Efficient and Stable Planar Perovskite Solar Cell,
3-Ammonium Propionic Acid,C(CN)C(=O)O.I,nip,18.5,20.4,1.9,FA0.71MA0.29PbI2.13Br0.33Cl0.54,https://doi.org/10.1021/acsaem.1c03296,3-Ammonium Propionic Acid: A Cation Tailoring Crystal Structure of Hybrid Perovskite for Improving Photovoltaic Performance,
methylphosphonic acid,CP(=O)(O)O,nip,20.08,21.65,1.57,(FAPbI3)0.95(MAPbBr3)0.05,https://doi.org/10.1021/acsaem.1c00192,Efficient and Stable Perovskite Solar Cells Achieved by Using Bifunctional Interfacial Materials to Modify SnO2 and MAPbI3–xClx Simultaneously,
di-5-(1-methyltetrazole) disulfide,CN1C(=NN=N1)SSC2=NN=NN2C,nip,17.9,20.67,2.77,(Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3),https://dx.doi.org/10.1021/acsaem.0c01329,Bifunctional Organic Disulfide for High-Efficiency and High-Stability Planar Perovskite Solar Cells,
4-bromo-benzonitrile,C1=CC(=CC=C1C#N)Br,nip,20.09,22.28,2.19,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1039/d1tc04615b,Effective surface passivation with 4-bromo-benzonitrile to enhance the performance of perovskite solar cells,
D-pentafluorophenylalanine,C(C1=C(C(=C(C(=C1F)F)F)F)F)[C@H](C(=O)O)N,nip,19.42,21.56,2.14,Cs0.065(FA0.70MA0.30)0.935Pb(I0.96Br0.04)3,DOI: 10.1039/d2ta00653g,Consolidating a Pb–X framework via multifunctional passivation with fluorinated zwitterions for efficient and stable perovskite solar cells,
"3-ethylbenzo[d]isothiazole 1,1-dioxide",CCC1=NS(=O)(=O)C2=CC=CC=C21,nip,21.46,23.85,2.39,Cs0.04FA0.69MA0.28,DOI: 10.1039/d2ta02084j,Sulfonyl passivation through synergistic hydrogen bonding and coordination interactions for efficient and stable perovskite solar cells,
trifluorothymine,C1=C(C(=O)NC(=O)N1)C(F)(F)F,nip,20.1,21.1,1,(CsPbI3)0.05(MAPbBr3)0.075(FAPbI3)0.875,DOI: 10.1039/d2ta03601k,A trifluorothymine interlayer reduces the degradation of perovskite and controls the cracks of hole transport layers,
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,nip,19.53,21.1,1.57,Rb0.05Cs0.05(FA0.83MA0.17)0.9Pb(I0.95Br0.05)3,DOI: 10.1039/d0ta10717d,Artemisinin-passivated mixed-cation perovskite films for durable flexible perovskite solar cells with over 21% efficiency,
Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,nip,19.53,21.01,1.48,Rb0.05Cs0.05(FA0.83MA0.17)0.9Pb(I0.95Br0.05)3,DOI: 10.1039/d0ta10717d,Artemisinin-passivated mixed-cation perovskite films for durable flexible perovskite solar cells with over 21% efficiency,
Dihydroartemisinin ,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,nip,19.53,19.47,-0.06,Rb0.05Cs0.05(FA0.83MA0.17)0.9Pb(I0.95Br0.05)3,DOI: 10.1039/d0ta10717d,Artemisinin-passivated mixed-cation perovskite films for durable flexible perovskite solar cells with over 21% efficiency,
acetic acid,CC(=O)O,nip,18.57,20.33,1.76,Cs0.05(MA0.13FA0.87)0.95Pb(I0.87Br0.13)3 ,DOI: 10.1039/c9ta08042b,Highly efficient planar perovskite solar cells via acid-assisted surface passivation,
pyridine,C1=CC=NC=C1,nip,17.58,16.61,-0.89,FA0.88Cs0.12PbI3,DOI: 10.1039/c8ta11977e,Effect of bidentate and tridentate additives on the photovoltaic performance and stability of perovskite solar cells,
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,nip,17.58,19.02,1.44,FA0.88Cs0.12PbI3,DOI: 10.1039/c8ta11977e,Effect of bidentate and tridentate additives on the photovoltaic performance and stability of perovskite solar cells,
"2,2':6',2''-Terpyridine",C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,nip,17.58,18.68,1.1,FA0.88Cs0.12PbI3,DOI: 10.1039/c8ta11977e,Effect of bidentate and tridentate additives on the photovoltaic performance and stability of perovskite solar cells,
Dithizone,C1=CC=C(C=C1)NNC(=S)N=NC2=CC=CC=C2,nip,16.96,19.67,2.71,FA0.71MA0.29PbI2.13Br0.33Cl0.54,https://doi.org/10.1016/j.orgel.2022.106604,Improved efficiency and stability of organic-inorganic hybrid perovskite solar cell via dithizone surface passivation effect,
Glycine,C(C(=O)O)N,nip,19.11,21.18,2.07,FA0.71MA0.29PbI2.13Br0.33Cl0.54,https://doi.org/10.1016/j.orgel.2022.106573,Hydrogen-iodide bonding between glycine and perovskite greatly improve moisture stability for binary PSCs,
4-chlorobenzoic acid,C1=CC(=CC=C1C(=O)O)Cl,nip,18.23,20.22,1.99,Cs0.09FA0.79MA0.12PbI2.74Br0.26,https://doi.org/10.1016/j.orgel.2020.105922,Enhanced efficiency and reduced hysteresis by TiO2 modification in high-performance perovskite solar cells,
2-hydroxyethyl acrylate,C=CC(=O)OCCO,nip,18.45,22.05,3.6,Cs0.175FA0.750MA0.075Pb(I0.880Br0.120)3,DOI: 10.1016/j.xcrp.2022.100906,Intrinsic and extrinsic stability of triple-cation perovskite solar cells through synergistic influence of organic additive,
4-methoxyphenylacetic acid,COC1=CC=C(C=C1)CC(=O)O,nip,20.97,22.32,1.35,FA0.65MA0.35PbI2.37Cl0.63,DOI: 10.1016/j.jpowsour.2021.230734,Reduced defects and enhanced Vbi in perovskite absorbers through synergetic passivating effect using 4-methoxyphenylacetic acid,
2-methylimidazole,CC1=NC=CN1,nip,17.48,19.45,1.97,FA0.83MA0.17PbI2.50Br0.50,https://doi.org/10.1016/j.jpowsour.2020.227714,2-Methylimidazole as an interlayer for the enhancement of the open-circuit voltage in perovskite solar cells,
perylenediimide,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O,nip,19.52,22.24,2.72,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,https://doi.org/10.1002/eom2.12146,Enhanced electron transfer dynamics in perylene diimide passivated efficient and stable perovskite solar cells,
phenylbenzimidazole sulfonic acid,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,nip,20.38,23.27,2.89,FAPbI3,https://doi.org/10.1002/smtd.202101257,Dual Functions of Performance Improvement and Lead Leakage Mitigation of Perovskite Solar Cells Enabled by Phenylbenzimidazole Sulfonic Acid,
N-(4-acetylphenyl)maleimide,CC(=O)C1=CC=C(C=C1)N2C(=O)C=CC2=O,nip,20.09,23.03,2.94,Cs0.065(FA0.7MA0.3)0.935Pb(I0.89Br0.11)3,https://doi.org/10.1002/smtd.202200260,Enhanced Hole Mobility and Decreased Ion Migration Originated from Interface Engineering for High Quality PSCs with Average FF beyond 80%,
4-fluoroaniline,C1=CC(=CC=C1N)F,nip,15.97,18.6,2.63,Cs0.17FA0.83PbI2.6Br0.4,https://doi.org/10.1002/smll.201803350,General Nondestructive Passivation by 4-Fluoroaniline for Perovskite Solar Cells with Improved Performance and Stability,
Dithiooxamide,C(=S)(C(=S)N)N,nip,18.58,21.06,2.48,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,https://doi.org/10.1016/j.mtener.2022.101004,Highly efficient and stable perovskite solar cells induced by novel bulk organosulfur ammonium,
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,nip,18.84,20.89,2.05,(FAPbI3)0.85(MAPbBr3)0.15,https://doi.org/10.1016/j.apsusc.2021.151259,Introduction of 4-hydroxybenzaldehyde as interface modifier with multidimensional defects passivation effect for high-performance perovskite solar cells,
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,nip,19.47,21.66,2.19,Cs0.06FA0.79MA0.15PbI2.73Br0.27,https://doi.org/10.1016/j.solmat.2022.112088,Dual passivation of SnO2/Perovskite heterogeneous interfacial defects for efficient perovskite solar cells,
phenylacetonitrile,C1=CC=C(C=C1)CC#N,nip,18.01,21.09,3.08,FA0.80MA0.15Cs0.05Pb(I0.85Br0.15)3,https://dx.doi.org/10.1021/acsami.0c00762,Electronic Coordination Effect of the Regulator on Perovskite Crystal Growth and Its High-Performance Solar Cells,
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,nip,18.01,20.22,2.21,FA0.80MA0.15Cs0.05Pb(I0.85Br0.15)3,https://dx.doi.org/10.1021/acsami.0c00762,Electronic Coordination Effect of the Regulator on Perovskite Crystal Growth and Its High-Performance Solar Cells,
"4-(N, N-Diphenylamino) benzaldehyde",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=O,nip,20.77,23.2,2.43,((FA0.95Cs0.05) PbI3)0.975(MAPbBr3)0.025,https://doi.org/10.1002/anie.202302462,Molecular Dipole Engineering of Carbonyl Additives for Efficient and Stable Perovskite Solar Cells,
4-Biphenylcarbaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,nip,20.77,22.85,2.08,((FA0.95Cs0.05) PbI3)0.975(MAPbBr3)0.025,https://doi.org/10.1002/anie.202302462,Molecular Dipole Engineering of Carbonyl Additives for Efficient and Stable Perovskite Solar Cells,
4-Acetylbiphenyl,CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,nip,20.77,22.47,1.7,((FA0.95Cs0.05) PbI3)0.975(MAPbBr3)0.025,https://doi.org/10.1002/anie.202302462,Molecular Dipole Engineering of Carbonyl Additives for Efficient and Stable Perovskite Solar Cells,
4-Aminobenzenesulfonic acid,C1=CC(=CC=C1N)S(=O)(=O)O,nip,21.49,24.09,2.6,FAPbI3,https://doi.org/10.1002/aenm.202203471,Aniline Sulfonic Acid Induced Uniform Perovskite Film for Large-Scale Photovoltaics,
