name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
urea,C(=O)(N)N,-0.35184624,0.35184624,0.274595026,0.660902641,-0.35184624,0.75,11.46733495,6.031114512,0,2,1,60.056,69.11,2,1,0,4,0,23.01955001,-0.9762,13.7708,0,0,0,0,0.74
phenylethylammonium iodidePEAI,C1=CC=C(C=C1)CC[NH3+].[I-],-1,1,0.299535118,1.078031983,-0.357285074,0.8,29.7103076,0,1,0,1,249.095,27.64,1,0,2,10,0,152.9490958,-2.525,37.9011,1,1,0,0.25,1.13
phenylbutylammonium iodidePBAI,C1=CC=C(C=C1)CCCC[NH3+].[I-],-1,1,0.275822418,1.073941881,-0.357560702,0.916666667,29.7103076,0,1,0,1,277.149,27.64,1,0,4,12,0,176.4896155,-1.7448,47.1351,1,1,0,0.4,0.39
Phenylpropylammonium IodidePPAI,C1=CC=C(C=C1)CCCN.I,-0.330461792,0.330461792,0.083282785,0.323051288,-0.330461792,1,5.733667477,0,1,0,1,263.122,26.02,1,1,3,11,0,164.6530014,2.1959,59.2324,1,1,0,0.333333333,1.86
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O,-0.388490606,0.388490606,0.247150969,0.5714007,-0.388490606,0.5,10.21305479,0,0,1,1,90.078,57.53,2,3,2,6,0,38,-1.4599,19.1786,0,0,0,0.666666667,3.05
tetramethylammonium chloride,C[N+](C)(C)C.[Cl-],-1,1,0.395983677,1.06746072,-0.333351019,0.333333333,16.89006402,0,1,0,1,109.6,0,0,0,0,6,0,15.509775,-2.6736,23.9564,0,0,0,1,2
chlorocholine chloride,C[N+](C)(C)CCCl.[Cl-],-1,1,0.354223001,1.091764584,-0.329926767,0.375,16.89006402,0,1,0,1,158.072,0,0,0,2,8,0,38.490225,-2.0646,33.6194,0,0,0,1,0.6
choline chloride,C[N+](C)(C)CCO.[Cl-],-1,1,0.366512293,1.101493486,-0.39051529,0.375,21.99659141,0,1,0,1,139.626,20.23,1,1,2,8,0,38.490225,-3.3111,29.9852,0,0,0,1,1
benzyltrimethylammonium chloride,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],-1,1,0.289646934,1.10374051,-0.327164983,0.583333333,16.89006402,0,1,0,1,185.698,0,0,0,2,12,0,203.2299615,-1.1032,48.1784,1,1,0,0.4,0.5
N-hydroxysuccinimide,C1CC(=O)N(C1=O)O,-0.278511959,0.278511959,0.212624313,0.531810466,-0.278511959,0.5,0,0,0,2,1,115.088,57.61,1,3,0,8,0,114.9737366,-0.4754,22.8735,1,0,1,0.5,2.24
5-chloroindole,C1=CC2=C(C=CN2)C=C1Cl,-0.361174887,0.361174887,0.110176271,0.406619784,-0.361174887,0.6,4.983978521,0,0,0,0,151.596,15.79,1,0,0,10,0,341.5657969,2.8213,43.3087,2,2,1,0,1.89
D-penicillamine,CC(C)([C@H](C(=O)O)N)S,-0.480048071,0.480048071,0.227715685,0.801439898,-0.480048071,0.666666667,10.84019487,5.969305288,1,1,2,149.215,63.32,3,3,2,9,0,103.6969429,0.1067,38.6762,0,0,0,0.8,1.65
N-tert-butyl-2-benzothiazolesulfenamide,CC(C)(C)NSC1=NC2=CC=CC=C2S1,-0.252560258,0.252560258,0.1022442,0.418147213,-0.252560258,0.733333333,0,0,2,0,1,238.381,24.92,1,4,2,15,0,407.2514043,3.6915,68.3657,2,2,1,0.363636364,1.26
18-Crown-6,C1COCCOCCOCCOCCOCCO1,-0.376667636,0.376667636,0.210615069,0.446782032,-0.376667636,0.333333333,28.42117772,0,0,0,0,264.318,55.38,0,6,0,18,0,75.05865003,0.0996,64.914,1,0,1,1,2.53
Dibenzo-18-Crown-6,C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1,-0.487297493,0.487297493,0.226010866,0.648088393,-0.487297493,0.538461538,28.42117772,0,0,0,0,360.406,55.38,0,6,0,26,0,528.4914996,2.9488,96.502,3,2,1,0.4,3.84
trifluoroacetamide,C(=O)(C(F)(F)F)N,-0.36184104,0.470441745,0.290436515,0.832282785,-0.36184104,0.714285714,5.733667477,12.08347825,0,1,1,113.038,43.09,1,1,0,7,0,72.52932501,0.034,15.2494,0,0,0,0.5,1.85
"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O,-0.505795795,0.505795795,0.231011059,0.916520007,-0.505795795,0.72,21.68038974,12.35259703,2,0,1,366.261,92.5,4,4,2,25,0,696.1009243,3.6729,77.9284,2,2,0,0.2,3.47
4-aminomethyltetrahydropyran,C1COCCC1CN,-0.381428973,0.381428973,0.158072885,0.428295839,-0.381428973,0.75,10.47053043,0,1,0,1,115.176,35.25,1,2,1,8,0,51.05865003,0.3717,32.5974,1,0,1,1,1.66
1-chlorobutane,CCCCCl,-0.126717152,0.126717152,0.047813894,0.149002637,0,0.8,0,0,0,0,0,92.569,0,0,0,2,5,0,7.509775004,2.0253,25.628,0,0,0,1,0.79
amino trimethylene phosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,-0.323528859,0.33897287,0.262780753,0.662501729,-0.323528859,0.625,29.36046962,22.78728698,1,0,1,299.049,175.83,6,4,6,16,0,279.1759501,-1.306,52.5723,0,0,0,1,2.53
fumaric acid,C(=C/C(=O)O)\\C(=O)O,-0.47807075,0.47807075,0.301874179,0.806136614,-0.47807075,0.5,10.21305479,11.93861058,0,2,1,116.072,74.6,2,2,2,8,0,110.9737366,-0.2882,24.4116,0,0,0,0,1.3
sodium p-toluenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],-0.744035769,1,0.375283019,1.744035769,-0.744035769,0.75,4.552749874,29.55728603,0,0,0,194.187,57.2,0,3,1,12,0,322.8059892,-2.09688,39.1422,1,1,0,0.142857143,1.35
4′-heptyl-4-biphenylcarbonitrile,CCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,-0.192437046,0.192437046,0.051168402,0.291546616,-0.192437046,0.904761905,0,0,1,0,1,277.411,23.79,0,1,7,21,0,566.9305299,5.73818,89.056,2,2,0,0.35,3.05
tris(pentafluorophenyl)boron,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.204098665,0.264565534,0.186821455,0.468664199,0,0.441176471,0,0,0,0,0,511.98,0,0,0,3,34,0,1075.36312,4.2893,83.352,3,3,0,0,2.05
glutaric acid,C(CC(=O)O)CC(=O)O,-0.481230228,0.481230228,0.280445891,0.784086019,-0.481230228,0.555555556,10.21305479,11.93861058,0,2,1,132.115,74.6,2,2,4,9,0,95.20671787,0.3259,29.1226,0,0,0,0.6,2.37
cyanuric fluoride,C1(=NC(=NC(=N1)F)F)F,-0.16131261,0.316038853,0.223489392,0.477351462,-0.154726243,0.666666667,0,18.23452154,3,0,1,135.048,38.67,0,3,0,9,0,160.8005151,0.2889,19.701,1,1,1,0,1.84
melamine,C1(=NC(=NC(=N1)N)N)N,-0.367590743,0.367590743,0.247520398,0.593701022,-0.367590743,0.666666667,17.20100243,0,6,0,1,126.123,116.73,3,6,0,9,0,160.8005151,-1.3818,33.0642,1,1,1,0,1.35
cyanuric acid,C1(=O)NC(=O)NC(=O)N1,-0.258986688,0.33049653,0.275287409,0.589483217,-0.258986688,0.666666667,0,17.06923019,0,0,0,129.075,98.58,3,3,0,9,0,262.5390673,-2.2485,28.3041,1,1,1,0,0.66
cyanuric chloride,C1(=NC(=NC(=N1)Cl)Cl)Cl,-0.186832365,0.227459815,0.171556492,0.41429218,-0.186832365,0.666666667,0,0,3,0,1,184.413,38.67,0,3,0,9,0,160.8005151,1.8318,34.857,1,1,1,0,1.35
thiocyanuric acid,C1(=S)NC(=S)NC(=S)N1,-0.309268954,0.309268954,0.199406968,0.48757688,-0.309268954,0.666666667,14.95193556,0,0,0,0,177.279,47.37,3,3,0,9,0,262.5390673,1.85937,41.9961,1,1,1,0,-5.24
hydrogen octylphosphonate potassium,CCCCCCCCP(=O)(O)[O-].[K+],-0.778623779,1,0.375235997,1.778623779,-0.778623779,0.769230769,14.35187149,51.38453491,0,0,0,232.301,60.36,1,2,7,13,0,126.9737366,-1.1034,48.0683,0,0,0,1,2.8
"3,5-bis(trifluoromethyl)benzoic acid",C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=O)O,-0.477638947,0.477638947,0.231739619,0.893589784,-0.477638947,0.647058824,5.106527395,18.32190232,0,1,1,258.117,37.3,1,1,1,17,0,390.0820244,3.4224,43.4053,1,1,0,0.222222222,2.64
4-(aminomethyl) benzonitrile,C1=CC(=CC=C1CN)C#N,-0.326497495,0.326497495,0.115602514,0.425606687,-0.326497495,0.7,5.733667477,0,2,0,1,132.166,49.81,1,2,1,10,0,235.7359748,1.01698,39.0484,1,1,0,0.125,3.37
benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.326497507,0.326497507,0.091283282,0.34425827,-0.326497507,0.888888889,5.733667477,0,1,0,1,235.068,26.02,1,1,1,9,0,141.3842989,1.7633,49.7484,1,1,0,0.142857143,1.6
4-chlorobenzylammonium iodide,C1=CC(=CC=C1C[NH3+])Cl.[I-],-1,1,0.305526101,1.099678347,-0.353808314,0.7,29.7103076,0,1,0,1,269.513,27.64,1,0,1,10,0,171.734728,-1.9141,38.0441,1,1,0,0.142857143,-0.48
phenethylammonium iodide,C1=CC=C(C=C1)CCN.I,-0.330142607,0.330142607,0.087324024,0.326472797,-0.330142607,1,5.733667477,0,1,0,1,249.095,26.02,1,1,2,10,0,152.9490958,1.8058,54.6154,1,1,0,0.25,-1.97
methyl 3-sulfamoylthiophene-2-carboxylate,COC(=O)C1=C(C=CS1)S(=O)(=O)N,-0.464796453,0.464796453,0.217930564,0.813733735,-0.464796453,0.615384615,4.736862954,5.969305288,0,1,1,221.259,86.46,1,5,2,13,0,397.0016394,0.1821,47.0317,1,1,1,0.166666667,2.95
2-mercaptobenzimidazole,C1=CC=C2C(=C1)NC(=S)N2,-0.330747578,0.330747578,0.152996779,0.505627947,-0.330747578,0.7,9.967957042,0,0,0,0,150.206,31.58,2,1,0,10,0,351.3305569,2.22549,43.4834,2,2,1,0,2.49
histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N,-0.480076978,0.480076978,0.235076684,0.800453184,-0.480076978,0.454545455,15.82417339,5.969305288,2,1,2,155.157,92,3,3,3,11,0,216.1961662,-0.6359,37.9029,1,1,1,0.333333333,2.78
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.480077692,0.480077692,0.193748883,0.800394613,-0.480077692,0.6,15.82417339,5.969305288,1,1,2,204.229,79.11,3,2,3,15,0,473.4988968,1.1223,57.6139,2,2,1,0.181818182,3.37
tetrafluorophthalonitrile,C(#N)C1=C(C(=C(C(=C1F)F)F)F)C#N,-0.202116505,0.202116505,0.17453885,0.400552886,-0.192273411,0.428571429,0,0,2,0,1,200.094,47.58,0,2,0,14,0,417.527507,1.98636,35.704,1,1,0,0,3.42
tris(pentafluorophenyl)borane,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.204098665,0.264565534,0.186821455,0.468664199,0,0.441176471,0,0,0,0,0,511.98,0,0,0,3,34,0,1075.36312,4.2893,83.352,3,3,0,0,2.35
2-thiophenecarboxamide,C1=CSC(=C1)C(=O)N,-0.364900398,0.364900398,0.183688738,0.623164172,-0.364900398,0.75,5.733667477,0,0,1,1,127.168,43.09,1,2,1,8,0,167.9281971,0.847,32.8369,1,1,1,0,2.96
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.19797459,0.19797459,0.073265624,0.264896042,-0.19797459,0.777777778,0,0,1,0,1,117.151,23.79,0,1,1,9,0,203.2299615,1.75268,35.759,1,1,0,0.125,3.08
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.197974588,0.197974588,0.061609192,0.264896416,-0.197974588,0.846153846,0,0,1,0,1,167.211,23.79,0,1,1,13,0,460.6671593,2.90588,53.265,2,2,0,0.083333333,2.21
4-aminobenzonitrile,C1=CC(=CC=C1C#N)N,-0.398727657,0.398727657,0.141436117,0.49783911,-0.398727657,0.666666667,5.733667477,0,2,0,1,118.139,49.81,1,2,0,9,0,223.2103774,1.14048,35.5694,1,1,0,0,0.8
"1,8-octanedithiol-doped",C(CCCCS)CCCS,-0.179363901,0.179363901,0.057970758,0.169572491,0,1,0,0,0,0,0,178.366,0,2,2,7,10,0,40,3.1866,55.408,0,0,0,1,0.97
triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,-0.062222468,0.062222468,0.018247382,0.04878678,0,1,0,0,0,0,0,262.292,0,0,0,3,19,0,518.0619249,3.4448,85.148,3,3,0,0,1.86
"2,3,4,5,6-pentafluorobenzyl phosphonic acid",CC(C(C)(C)C)OP(=O)(C)OCC1=C(C(=C(C(=C1F)F)F)F)F,-0.305152394,0.327735779,0.18095025,0.632888173,-0.305152394,0.565217391,9.047494323,7.595762327,0,0,0,360.259,35.53,0,3,5,23,0,578.9010857,5.1728,74.5535,1,1,0,0.571428571,2.06
1-methylimidazole,CN1C=CN=C1,-0.340567857,0.340567857,0.163020989,0.434847187,-0.340567857,0.333333333,4.567099648,0,2,0,1,82.106,17.82,0,1,0,6,0,103.5987305,0.4201,23.208,1,1,1,0.25,1.34
1-methylbenzimidazole,CN1C=NC2=CC=CC=C21,-0.333730112,0.333730112,0.131950637,0.429248064,-0.333730112,0.6,4.567099648,0,2,0,1,132.166,17.82,0,1,0,10,0,341.5657969,1.5733,40.714,2,2,1,0.125,1.74
2-(2-hydroxy-5-methylphenyl)benzotriazole,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,-0.505617502,0.505617502,0.145624438,0.648224353,-0.505617502,0.764705882,5.106527395,0,3,0,1,225.251,50.94,1,3,1,17,0,638.3211004,2.43452,65.2668,3,3,1,0.076923077,1.2
4-trifluoromethyl-benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl,-0.383682131,0.41591025,0.184277303,0.799592381,-0.383682131,0.714285714,5.733667477,6.176298517,2,0,1,224.613,49.87,2,1,1,14,0,295.8053496,2.41127,49.7081,1,1,0,0.125,2.07
benzotrifluoride,C1=CC=C(C=C1)C(F)(F)F,-0.16613755,0.415909503,0.162964589,0.582047053,0,0.8,0,6.176298517,0,0,0,146.111,0,0,0,0,10,0,191.028337,2.7054,31.444,1,1,0,0.142857143,1.52
benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl,-0.383682133,0.383682133,0.137309919,0.505955192,-0.383682133,0.8,5.733667477,0,2,0,1,156.616,49.87,2,1,1,10,0,196.538112,1.39247,44.7061,1,1,0,0,1.18
"2,5-thiophene dicarboxylic acid ",C1=C(SC(=C1)C(=O)O)C(=O)O,-0.477049577,0.477049577,0.271290307,0.822432221,-0.477049577,0.636363636,10.21305479,11.93861058,0,2,1,172.161,74.6,2,3,2,11,0,258.2418843,1.1445,38.2376,1,1,1,0,3.47
N-methyl-N-(thien-2-ylmethyl)amine,CNCC1=CC=CS1,-0.314876444,0.314876444,0.106746896,0.344495777,-0.314876444,0.75,5.316788604,0,1,0,1,127.212,12.03,1,2,2,8,0,125.7583561,1.4675,37.0827,1,1,1,0.333333333,1.56
"1,3-diphenylurea",C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,-0.307721816,0.323178429,0.14312428,0.630900246,-0.307721816,0.8125,10.63357721,6.031114512,0,2,1,212.252,41.13,2,1,2,16,0,396.479231,3.3306,65.5254,2,2,0,0,1.4
"1,3-ditert-butylurea",CC(C)(C)NC(=O)NC(C)(C)C,-0.333558358,0.333558358,0.169547465,0.648651617,-0.333558358,0.75,10.63357721,6.031114512,0,2,1,172.272,41.13,2,1,0,12,0,131.8575738,1.8826,51.1734,0,0,0,0.888888889,0.9
thymine,CC1=CNC(=O)NC1=O,-0.313849907,0.325184536,0.224040391,0.639034443,-0.313849907,0.555555556,4.983978521,5.689743398,0,0,0,126.115,65.72,2,2,0,9,0,296.3046159,-0.62838,32.4204,1,1,1,0.2,1.68
3-Ammonium Propionic Acid,C(CN)C(=O)O.I,-0.481195255,0.481195255,0.244525046,0.78532047,-0.481195255,0.571428571,10.84019487,5.969305288,1,1,2,217.006,63.32,2,2,2,7,0,44,0.0378,36.7222,0,0,0,0.666666667,1.9
methylphosphonic acid,CP(=O)(O)O,-0.324614,0.324614,0.2543505,0.646630337,-0.324614,0.6,9.786823206,7.595762327,0,0,0,96.022,57.53,2,1,0,5,0,46.17389939,-0.2061,17.9681,0,0,0,1,1.57
di-5-(1-methyltetrazole) disulfide,CN1C(=NN=N1)SSC2=NN=NN2C,-0.22288152,0.22288152,0.124701156,0.442521734,-0.22288152,0.714285714,0,0,8,0,1,230.282,87.2,0,8,3,14,0,360.8523368,-0.467,49.31,2,2,2,0.5,2.77
4-bromo-benzonitrile,C1=CC(=CC=C1C#N)Br,-0.192437041,0.192437041,0.077003726,0.291547214,-0.192437041,0.666666667,0,0,1,0,1,182.02,23.79,0,1,0,9,0,223.2103774,2.32078,38.857,1,1,0,0,2.19
D-pentafluorophenylalanine,C(C1=C(C(=C(C(=C1F)F)F)F)F)[C@H](C(=O)O)N,-0.480077679,0.480077679,0.225079367,0.80039705,-0.480077679,0.470588235,10.84019487,5.969305288,1,1,2,255.142,63.32,2,2,3,17,0,420.5914941,1.3365,45.5472,1,1,0,0.222222222,2.14
"3-ethylbenzo[d]isothiazole 1,1-dioxide",CCC1=NS(=O)(=O)C2=CC=CC=C21,-0.199251344,0.282721806,0.125241524,0.481973149,-0.199251344,0.692307692,0,0,0,0,0,195.243,46.5,0,2,1,13,0,456.5666071,1.588,50.4558,2,1,1,0.222222222,2.39
trifluorothymine,C1=C(C(=O)NC(=O)N1)C(F)(F)F,-0.313497642,0.422620158,0.249689689,0.7361178,-0.313497642,0.583333333,4.983978521,11.86604192,0,0,0,180.085,65.72,2,2,0,12,0,366.0052757,0.082,32.6854,1,1,1,0.2,1
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,-0.432028447,0.432028447,0.18010808,0.743000251,-0.432028447,0.6,9.473725908,5.969305288,0,1,1,282.336,53.99,0,5,0,20,0,435.3192644,2.3949,68.047,5,0,4,0.933333333,1.57
Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,-0.481218929,0.481218929,0.204819809,0.789412139,-0.481218929,0.592592593,19.31711626,11.93861058,0,2,1,384.425,100.52,1,7,4,27,0,599.1595682,2.6024,89.7898,5,0,4,0.894736842,1.48
Dihydroartemisinin ,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,-0.367604464,0.367604464,0.161701677,0.568886259,-0.367604464,0.65,14.5802533,0,0,0,0,284.352,57.15,1,5,0,20,0,394.842491,2.1867,69.0468,5,0,4,1,-0.06
acetic acid,CC(=O)O,-0.481433475,0.481433475,0.294315703,0.781118028,-0.481433475,0.5,5.106527395,0,0,1,1,60.052,37.3,1,1,0,4,0,23.01955001,0.0909,13.3098,0,0,0,0.5,1.76
pyridine,C1=CC=NC=C1,-0.264736971,0.264736971,0.097881397,0.291465739,-0.264736971,0.666666667,0,0,1,0,1,79.102,12.89,0,1,0,6,0,71.96100506,1.0816,24.237,1,1,1,0,-0.89
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,-0.25462112,0.25462112,0.105941259,0.3431811,-0.25462112,0.666666667,0,0,2,0,1,156.188,25.78,0,2,1,12,0,297.4313205,2.1436,47.468,2,2,2,0,1.44
"2,2':6',2''-Terpyridine",C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,-0.25462064,0.25462064,0.108209988,0.344006473,-0.25462064,0.666666667,0,0,3,0,1,233.274,38.67,0,3,2,18,0,569.7160655,3.2056,70.699,3,3,3,0,1.1
Dithizone,C1=CC=C(C=C1)NNC(=S)N=NC2=CC=CC=C2,-0.298949373,0.298949373,0.114489154,0.530860755,-0.298949373,0.833333333,0,0,4,0,1,256.334,48.78,2,3,3,18,0,506.2492785,3.6719,76.7564,2,2,0,0,2.71
Glycine,C(C(=O)O)N,-0.48029713,0.48029713,0.290724392,0.797053108,-0.48029713,0.6,10.84019487,5.969305288,1,1,2,75.067,63.32,2,2,1,5,0,35.30296891,-0.9703,16.6902,0,0,0,0.5,2.07
4-chlorobenzoic acid,C1=CC(=CC=C1C(=O)O)Cl,-0.477639241,0.477639241,0.197755827,0.812819234,-0.477639241,0.7,5.106527395,5.969305288,0,1,1,156.568,37.3,1,1,1,10,0,228.7201524,2.0382,38.4113,1,1,0,0,1.99
2-hydroxyethyl acrylate,C=CC(=O)OCCO,-0.460101417,0.460101417,0.252509522,0.789823607,-0.460101417,0.5,9.843390349,5.969305288,0,1,1,116.116,46.53,1,3,3,8,0,80.03910002,-0.2921,28.2418,0,0,0,0.4,3.6
4-methoxyphenylacetic acid,COC1=CC=C(C=C1)CC(=O)O,-0.496768215,0.496768215,0.225494663,0.804083011,-0.496768215,0.666666667,9.843390349,5.969305288,0,1,1,166.176,46.53,1,2,3,12,0,253.8717288,1.3223,44.3338,1,1,0,0.222222222,1.35
2-methylimidazole,CC1=NC=CN1,-0.348825792,0.348825792,0.164607296,0.451180906,-0.348825792,0.5,4.983978521,0,1,0,1,82.106,28.68,1,1,0,6,0,103.5987305,0.71812,23.3247,1,1,1,0.25,1.97
perylenediimide,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O,-0.288141672,0.288141672,0.155789235,0.546409005,-0.288141672,0.666666667,0,0,0,4,1,390.354,92.34,2,4,0,30,0,1443.451862,3.5044,111.2454,7,5,2,0,2.72
phenylbenzimidazole sulfonic acid,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,-0.337914116,0.337914116,0.149502483,0.632005485,-0.337914116,0.684210526,4.983978521,0,1,0,1,274.301,83.05,2,3,2,19,0,812.8606311,2.4766,71.3443,3,3,1,0,2.89
N-(4-acetylphenyl)maleimide,CC(=O)C1=CC=C(C=C1)N2C(=O)C=CC2=O,-0.294512186,0.294512186,0.166741209,0.552226084,-0.294512186,0.5625,0,0,0,3,1,215.208,54.45,0,3,2,16,0,465.2745249,1.3186,58.0795,2,1,1,0.083333333,2.94
4-fluoroaniline,C1=CC(=CC=C1N)F,-0.398726079,0.398726079,0.150323877,0.521584921,-0.398726079,0.75,5.733667477,0,1,0,1,111.119,26.02,1,1,0,8,0,138.8981139,1.4079,30.8124,1,1,0,0,2.63
Dithiooxamide,C(=S)(C(=S)N)N,-0.387524803,0.387524803,0.214224006,0.518334078,-0.387524803,0.666666667,11.46733495,0,2,0,1,120.202,52.04,2,2,0,6,0,66.03910002,-0.4414,33.5708,0,0,0,0,2.48
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,-0.507966219,0.507966219,0.194169539,0.657518799,-0.507966219,0.666666667,5.106527395,0,0,1,1,122.123,37.3,1,2,1,9,0,193.7832245,1.2047,33.4943,1,1,0,0,2.05
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,-0.480086286,0.480086286,0.255969316,0.802556993,-0.480086286,0.55,26.58029947,11.93861058,1,4,2,307.328,158.82,6,6,9,20,0,356.2346001,-2.2061,71.2744,0,0,0,0.6,2.19
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.19797459,0.19797459,0.073265624,0.264896042,-0.19797459,0.777777778,0,0,1,0,1,117.151,23.79,0,1,1,9,0,203.2299615,1.75268,35.759,1,1,0,0.125,3.08
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.197974588,0.197974588,0.061609192,0.264896416,-0.197974588,0.846153846,0,0,1,0,1,167.211,23.79,0,1,1,13,0,460.6671593,2.90588,53.265,2,2,0,0.083333333,2.21
"4-(N, N-Diphenylamino) benzaldehyde",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=O,-0.310505919,0.310505919,0.098191522,0.460056515,-0.310505919,0.761904762,4.899909731,0,1,1,2,273.335,20.31,0,2,4,21,0,654.5417231,4.9689,86.5125,3,3,0,0,2.43
4-Biphenylcarbaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,-0.297896406,0.297896406,0.08776892,0.447445152,-0.297896406,0.857142857,0,0,0,1,1,182.222,17.07,0,1,2,14,0,409.5511153,3.1661,57.2655,2,2,0,0,2.08
4-Acetylbiphenyl,CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,-0.294512201,0.294512201,0.086585733,0.453811415,-0.294512201,0.866666667,0,0,0,1,1,196.249,17.07,0,1,2,15,0,449.1568006,3.5562,61.8825,2,2,0,0.071428571,1.7
4-Aminobenzenesulfonic acid,C1=CC(=CC=C1N)S(=O)(=O)O,-0.398727713,0.398727713,0.180236204,0.692740772,-0.398727713,0.727272727,5.733667477,0,1,0,1,173.193,80.39,2,3,1,11,0,322.8059892,0.5155,40.669,1,1,0,0,2.6
sulfamide ,NS(=O)(=O)N,-0.215929171,0.271320284,0.191067834,0.487249455,-0.215929171,0.8,0,0,0,0,0,96.111,86.18,2,2,0,5,0,83.20671787,-1.8514,17.2946,0,0,0,0,2.33
L-aspartate,C([C@@H](C(=O)O)N)C(=O)O,-0.481175383,0.481175383,0.297861952,0.80175349,-0.481175383,0.555555556,15.94672227,11.93861058,1,2,2,133.103,100.62,3,3,3,9,0,120,-1.127,27.864,0,0,0,0.5,2.24
tri(2-thienyl)benzene,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4,-0.143843637,0.143843637,0.051384224,0.178107217,0,0.857142857,0,0,0,0,0,324.495,0,0,3,3,21,0,683.3075802,6.8721,96.381,4,4,3,0,2.9
"2-[N,N-bi(trifluoromethylsulfonyl)amino]pyridine",C1=CC=NC(=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,-0.237185926,0.517301044,0.236815797,0.754486971,-0.237185926,0.714285714,0,31.06324331,1,0,1,358.241,84.41,0,5,3,21,0,620.6454725,1.5872,56.6656,1,1,1,0.285714286,2.13
oteracil potassium,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+],-0.541547015,1,0.423017245,1.541547015,-0.541547015,0.583333333,9.901064579,62.7640217,1,1,2,195.175,118.74,2,5,1,12,0,343.2650508,-6.1743,29.8089,1,1,1,0,2.03
potassium cinnamate,C1=CC=C(C=C1)C=CC(=O)[O-].[K+],-0.545466972,1,0.365786031,1.545466972,-0.545466972,0.833333333,9.901064579,51.38453491,0,1,1,186.251,40.13,0,2,2,12,0,254.6266163,-2.5463,40.483,1,1,0,0,3.04
