name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
Guanidinium iodide,C(=N)(N)N.I,-0.370333532,0.370333532,0.208305199,0.552861534,-0.370333532,0.8,11.46733495,0,3,0,1,186.984,75.89,3,1,0,5,0,23.01955001,-0.54343,31.5165,0,0,0,0,-1.07
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I,-0.330142607,0.330142607,0.111654083,0.452869836,-0.330142607,0.909090909,5.733667477,0,1,0,1,267.085,26.02,1,1,2,11,0,183.6982132,1.9449,54.5734,1,1,0,0.25,1.7
2-Fluoro-phenethylammonium iodide,C1=CC=C(C(=C1)CC[NH3+])F.[I-],-1,1,0.299573624,1.126119414,-0.357283543,0.727272727,29.7103076,0,1,0,1,267.085,27.64,1,0,2,11,0,200.9482132,-2.3859,37.8591,1,1,0,0.25,1.09
Benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.326497507,0.326497507,0.091283282,0.34425827,-0.326497507,0.888888889,5.733667477,0,1,0,1,235.068,26.02,1,1,1,9,0,141.3842989,1.7633,49.7484,1,1,0,0.142857143,0.91
Octylammonium iodide,CCCCCCCC[NH3+].[I-],-1,1,0.298360696,1.073930339,-0.357560865,0.9,29.7103076,0,1,0,1,257.159,27.64,1,0,6,10,0,33.30296891,-1.4072,41.1311,0,0,0,1,0.12
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.453595078,0.453595078,0.186997902,0.69964422,-0.453595078,0.666666667,14.37363564,0,0,1,1,285.343,38.77,0,3,3,21,0,553.4010844,2.9972,81.17,3,1,2,0.352941176,1.88
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.370333532,0.394346529,0.242507458,0.764680061,-0.370333532,0.769230769,22.93466991,10.39900058,6,0,1,216.223,226.38,8,4,0,13,0,194.7639251,-2.97566,46.3804,0,0,0,0,1.19
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.143912294,0.143912294,0.053621204,0.188235987,-0.143912294,0.818181818,0,0,1,0,1,156.249,23.14,0,1,0,11,0,126.1173001,2.375,44.5345,1,0,1,1,1.51
ethylammonium,CCN.[N+](=O)(O)[O-],-0.330748418,0.330748418,0.195752723,0.622043898,-0.330748418,0.857142857,10.9409205,0,2,0,1,108.097,89.39,2,3,0,7,0,31.30296891,-0.3827,23.5093,0,0,0,1,1.8
imidazolium,C1=C[NH+]=CN1,-0.250346067,0.250346067,0.207036975,0.48912661,-0.250346067,0.4,0,0,0,0,0,69.087,29.93,1,0,0,5,1,56.51517764,-0.1712,17.3484,1,1,1,0,1.6
guanidinium iodide,C(=N)(N)N.I,-0.370333532,0.370333532,0.208305199,0.552861534,-0.370333532,0.8,11.46733495,0,3,0,1,186.984,75.89,3,1,0,5,0,23.01955001,-0.54343,31.5165,0,0,0,0,0.5
acrylamide monomer,C=CC(=O)N,-0.36613333,0.36613333,0.212021968,0.606430728,-0.36613333,0.8,5.733667477,0,0,1,1,71.079,43.09,1,1,1,5,0,51.05865003,-0.3423,19.3914,0,0,0,0,2.62
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],-1,1,0.175009627,1.078613079,-0.323609081,0.882352941,16.89006402,0,1,0,1,502.356,0,0,0,28,34,0,274.4376982,8.2492,153.2324,0,0,0,1,1.66
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,-0.288141687,0.288141687,0.155748344,0.546407908,-0.288141687,0.666666667,0,0,0,2,1,197.193,46.17,1,2,0,15,0,539.2598417,1.7234,55.7447,3,2,1,0,2.6
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,-0.288141672,0.288141672,0.121653523,0.546409005,-0.288141672,0.8,0,0,0,2,1,321.335,46.17,1,2,0,25,0,1283.67582,4.6208,99.4487,6,5,1,0,0.4
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.338721321,0.338721321,0.226549208,0.670424568,-0.338721321,0.461538462,4.983978521,5.689743398,3,0,1,180.167,72.68,1,3,0,13,0,555.7163275,-1.0397,46.5757,2,2,2,0.285714286,2.25
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.327863466,0.331703433,0.217994187,0.659566899,-0.327863466,0.428571429,4.567099648,5.689743398,4,0,1,194.194,61.82,0,3,0,14,0,597.2256231,-1.0293,51.196,2,2,2,0.375,1.22
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,-0.327869774,0.329317288,0.225916592,0.657187062,-0.327869774,0.461538462,4.567099648,5.689743398,3,0,1,180.167,72.68,1,3,0,13,0,555.7163275,-1.0397,46.5757,2,2,2,0.285714286,-0.73
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,-0.329831976,0.329831976,0.237519767,0.656162291,-0.329831976,0.571428571,15.52049068,7.595762327,1,0,1,125.064,83.55,3,2,2,7,0,74.03910002,-0.8772,25.9655,0,0,0,1,1.89
