N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
-0.305364429,0.666666667,18.09498865,15.19152465,0,0,344.325,0,6,10,5.0301,0,0,1,1.08
0,0.441176471,0,0,0,0,532.142,0,0,3,5.5313,3,0,0,2.99
-0.266136747,0.6,0,0,2,1,69.067,1,2,0,-0.1953,1,1,0,2
-0.376047653,0.727272727,11.05045608,0,2,1,231.118,2,1,1,2.1046,1,0,0,2.4
-0.378812514,0.333333333,10.05365156,0,1,1,87.122,1,2,0,-0.3938,1,1,1,0.7
-0.361801852,0.5,4.736862954,0,0,1,115.088,1,3,0,-1.3406,1,1,0.5,1.96
-0.369813236,0.428571429,10.05365156,0,0,1,101.105,1,2,0,-0.8672,1,1,0.75,2.17
-0.342214401,0.7,4.983978521,0,1,1,132.166,1,1,0,1.87132,2,1,0.125,2.1
-0.398638991,0.571428571,5.733667477,0,2,1,94.117,1,2,0,0.6638,1,1,0,2.6
-0.483723718,0.56,9.720841475,6.176298517,2,1,369.368,1,4,5,3.51522,3,2,0.25,2.14
-0.236640568,0.6,0,0,2,1,130.15,0,2,0,1.6298,2,2,0,2.2
-0.338674824,0.5,9.967957042,0,2,1,136.114,2,3,0,-0.3538,2,2,0,1.72
-0.423174856,0.636363636,10.04804515,7.118392334,0,0,157.912,2,2,1,-0.3554,1,0,0,1.98
-0.381798268,0.5,10.717646,0,4,1,135.13,2,4,0,-0.0649,2,2,0,1.1
-0.385103472,0.625,5.733667477,5.689743398,2,1,111.104,2,3,0,-0.6479,1,1,0,2
-0.376505715,0.75,11.46733495,0,2,1,76.124,2,1,0,-0.8113,0,0,0,1.21
-0.39355196,0.75,5.733667477,0,1,1,75.136,1,1,0,0.2924,0,0,0.5,1.88
0,1,0,0,0,0,62.137,0,1,0,0.9792,0,0,1,-0.45
-0.369231444,0.571428571,11.46733495,0,0,1,102.093,2,2,2,-1.6529,0,0,0.333333333,3.25
-0.423158785,0.875,10.04804515,7.118392334,0,0,127.961,2,3,1,-0.5721,1,1,0,2.06
-0.37226357,0.666666667,5.733667477,0,0,1,45.041,1,1,0,-0.8985,0,0,0,0.17
-0.326497507,0.875,5.733667477,0,1,1,107.156,1,1,1,1.1453,1,0,0.142857143,0.65
-0.365599512,0.777777778,5.733667477,0,0,1,121.139,1,1,1,0.7855,1,0,0,0.96
-0.365599488,0.7,5.733667477,0,0,1,139.129,1,1,1,0.9246,1,0,0,2.19
-0.3655995,0.7,5.733667477,0,0,1,155.584,1,1,1,1.4389,1,0,0,1.79
-0.284820806,0.7,0,0,0,0,392.046,0,2,2,4.1416,3,0,0,2.38
0,0.8125,0,0,0,0,464.784,0,2,14,11.0752,4,2,0.533333333,2.77
-0.385656692,0.541666667,9.473725908,23.87722115,0,1,322.228,0,7,2,1.5388,4,2,0,2.3
-0.385656842,0.64516129,9.473725908,36.22981819,0,1,444.239,0,6,2,3.7185,4,2,0.157894737,2.85
-0.277316161,0.555555556,0,6.031114512,0,1,128.087,2,3,0,-1.2575,1,1,0.25,1.2
-0.480805908,0.571428571,10.21305479,11.93861058,0,1,104.061,2,2,2,-0.4543,0,0,0.333333333,1.02
-0.35184624,0.75,11.46733495,6.031114512,0,1,60.056,2,1,0,-0.9762,0,0,0,0.74
-0.357285074,0.8,29.7103076,0,1,1,249.095,1,0,2,-2.525,1,0,0.25,1.13
-0.357560702,0.916666667,29.7103076,0,1,1,277.149,1,0,4,-1.7448,1,0,0.4,0.39
-0.330461792,1,5.733667477,0,1,1,263.122,1,1,3,2.1959,1,0,0.333333333,1.86
-0.388490606,0.5,10.21305479,0,0,1,90.078,2,3,2,-1.4599,0,0,0.666666667,3.05
-0.333351019,0.333333333,16.89006402,0,1,1,109.6,0,0,0,-2.6736,0,0,1,2
-0.329926767,0.375,16.89006402,0,1,1,158.072,0,0,2,-2.0646,0,0,1,0.6
-0.39051529,0.375,21.99659141,0,1,1,139.626,1,1,2,-3.3111,0,0,1,1
-0.327164983,0.583333333,16.89006402,0,1,1,185.698,0,0,2,-1.1032,1,0,0.4,0.5
-0.278511959,0.5,0,0,0,1,115.088,1,3,0,-0.4754,1,1,0.5,2.24
-0.361174887,0.6,4.983978521,0,0,0,151.596,1,0,0,2.8213,2,1,0,1.89
-0.480048071,0.666666667,10.84019487,5.969305288,1,2,149.215,3,3,2,0.1067,0,0,0.8,1.65
-0.252560258,0.733333333,0,0,2,1,238.381,1,4,2,3.6915,2,1,0.363636364,1.26
-0.376667636,0.333333333,28.42117772,0,0,0,264.318,0,6,0,0.0996,1,1,1,2.53
-0.487297493,0.538461538,28.42117772,0,0,0,360.406,0,6,0,2.9488,3,1,0.4,3.84
-0.36184104,0.714285714,5.733667477,12.08347825,0,1,113.038,1,1,0,0.034,0,0,0.5,1.85
