Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
3.557,306.274242,-10.1793,-0.464638671,0.413793103,18.94745182,23.87722115,0,1,4,12,16,1.4252,0,0,0.764705882,2.4
1.518,134.847477,-10.356,0,1,0,0,0,0,0,1,5,3.8709,1,1,0.6,1.81
0,106.459702,-10.7407,0,1,0,0,0,0,0,0,0,2.8326,4,0,1,1.15
1.366,115.309663,-9.7226,-0.325030481,0.909090909,5.733667477,0,1,1,1,1,0,1.9139,4,0,1,1.61
3.265,196.59891,-11.5203,-0.461674306,0.523809524,14.21058886,17.90791586,0,1,0,6,10,1.5704,0,0,0.4,2.1
4.49,107.463603,-10.4555,-0.299087986,0.727272727,0,0,0,1,0,1,0,2.0116,4,0,0.9,1.12
2.423,124.07588,-10.9239,-0.480821322,0.846153846,5.106527395,5.969305288,0,1,1,1,1,2.2874,4,0,0.909090909,1.41
1.896,135.720768,-10.6711,-0.481215172,0.857142857,5.106527395,5.969305288,0,1,1,1,2,2.6775,4,0,0.916666667,2.06
1.592,63.588616,-11.8361,-0.363943925,0.666666667,11.46733495,5.922529168,0,1,2,2,2,-1.4077,0,0,0.333333333,2.21
5.674,222.395968,-10.9676,-0.308634799,0.8,4.565048285,0,0,0,0,1,3,3.326,3,0,0,1.05
7.458,234.76335,-11.693,-0.305364429,0.666666667,18.09498865,15.19152465,0,0,0,6,10,5.0301,0,0,1,1.08
1.219,229.009787,-11.8984,0,0.441176471,0,0,0,0,0,0,3,5.5313,3,0,0,2.99
3.437,45.049243,-10.8353,-0.266136747,0.6,0,0,2,1,1,2,0,-0.1953,1,1,0,2
8.065,132.82498,-9.5807,-0.376047653,0.727272727,11.05045608,0,2,1,2,1,1,2.1046,1,0,0,2.4
1.739,60.834816,-9.7355,-0.378812514,0.333333333,10.05365156,0,1,1,1,2,0,-0.3938,1,1,1,0.7
2.182,63.907913,-11.4229,-0.361801852,0.5,4.736862954,0,0,1,1,3,0,-1.3406,1,1,0.5,1.96
