Compound_CID,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
24229470,CN1C=CC(=N1)C2=CC=C(C=C2)CN,-0.3264975007336076,0.3264975007336076,0.11374311251478786,0.418748518457236,-0.3264975007336076,0.6428571428571429,5.733667477162185,0.0,3.0,0.0,1.0,187.24599999999998,43.84,1.0,2.0,2.0,14.0,0.0,403.8582835378292,1.5457999999999998,56.535400000000024,2.0,2.0,1.0,0.18181818181818182,1,
24229474,CNCC1=CC=C(C=C1)C2=NN(C=C2)C,-0.3156954508182166,0.3156954508182166,0.10889742506382567,0.4079464685493326,-0.3156954508182166,0.6666666666666666,5.316788604006331,0.0,3.0,0.0,1.0,201.27299999999997,29.85,1.0,2.0,3.0,15.0,0.0,417.5538895894928,1.8064999999999998,61.40770000000003,2.0,2.0,1.0,0.25,1,
24229518,CNCC1=CC=CC=C1OC2CCOCC2,-0.4899180811150768,0.4899180811150768,0.1699390413793817,0.6136232449437113,-0.4899180811150768,0.5,14.790514511606428,0.0,1.0,0.0,1.0,221.2999999999999,30.49,1.0,3.0,4.0,16.0,0.0,307.56927845028224,1.9638,63.674700000000044,2.0,1.0,1.0,0.5384615384615384,1,
24181916,C1=CC(=CC=C1CN(CCCl)CCCl)Cl.Cl,-0.29671947480513927,0.29671947480513927,0.08616262261922304,0.33728945803915994,-0.29671947480513927,0.625,0.0,0.0,1.0,0.0,1.0,303.0599999999999,3.24,0.0,1.0,6.0,16.0,0.0,251.8717287664019,4.041400000000003,75.41700000000003,1.0,1.0,0.0,0.45454545454545453,1,
24229501,CC1=NOC(=N1)C2=CC=CC(=C2)CNC,-0.3340097612998527,0.3340097612998527,0.14849408139457748,0.5914269340787115,-0.3340097612998527,0.7333333333333333,9.83988354097968,0.0,3.0,0.0,1.0,203.245,50.95,1.0,4.0,3.0,15.0,0.0,434.8038895894927,1.7644199999999999,57.23470000000003,2.0,2.0,1.0,0.2727272727272727,1,
70348252,C1=CC(=C(C(=C1)OCCO)CN)OCCO.Cl,-0.49071910736087465,0.49071910736087465,0.22205838191714064,0.6178367115233867,-0.49071910736087465,0.5294117647058824,25.420448174443692,0.0,1.0,0.0,1.0,263.72099999999995,84.94000000000001,3.0,5.0,7.0,17.0,0.0,272.6566619574483,0.30929999999999974,66.74300000000002,1.0,1.0,0.0,0.45454545454545453,1,
69825257,CC1=NC(=NO1)C2=CC=CC(=C2)CN.Cl,-0.3393080460650232,0.3393080460650232,0.15098695796997652,0.5626460137979549,-0.3393080460650232,0.6666666666666666,10.256762414135533,0.0,3.0,0.0,1.0,225.67899999999997,64.94,1.0,4.0,2.0,15.0,0.0,421.10828353782915,1.9255199999999997,59.61040000000003,2.0,2.0,1.0,0.2,1,
69862445,C1CCN(C1)C2CCN(CC2)C3=CC=C(C=C3)CN,-0.3714165260875956,0.3714165260875956,0.11944190944925467,0.4080075178424134,-0.3714165260875956,0.7368421052631579,15.533486938863142,0.0,3.0,0.0,1.0,259.397,32.5,1.0,3.0,3.0,19.0,0.0,375.00426679468546,2.2099,80.37540000000006,3.0,1.0,2.0,0.625,1,
126678431,CC1=CC(=CC=C1)/C=N/NC2=CC(=NC(=N2)OCCC3=CC=C(C=C3)CN)N4CCOCC4,-0.46300909568727117,0.46300909568727117,0.15986327054122176,0.7829162884181893,-0.46300909568727117,0.6363636363636364,20.107303115612762,6.010464839586836,6.0,0.0,1.0,446.5550000000003,97.89,2.0,8.0,9.0,33.0,0.0,1031.8883932088784,3.147820000000001,130.9921,4.0,3.0,2.0,0.32,1,
129320520,COCCOCOC1=CC(=C(C=C1)CN)C(F)(F)F,-0.46754264554817637,0.46754264554817637,0.21127726741888192,0.8839011429530428,-0.46754264554817637,0.5789473684210527,19.944256338562333,6.176298517443475,1.0,0.0,1.0,279.258,53.71,1.0,4.0,7.0,19.0,0.0,368.1149671621323,2.1634,62.65840000000002,1.0,1.0,0.0,0.5,1,
