name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
cetyltrimethylammonium chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],-1.0,1.0,0.21978790162363565,1.0779928278964177,-0.33091481901968084,0.8095238095238095,16.8900640188746,0.0,1,0,1,320.005,0.0,0,0,15,21,0,174.967556752381,3.177900000000001,93.21140000000008,0,0,0,1.0,1,
1H-Pyrazole-1-carboximidamide hydrochloride,C1=CN(N=C1)C(=N)N.Cl,-0.3682365531964851,0.3682365531964851,0.17116078966746404,0.5813312828386308,-0.3682365531964851,0.6666666666666666,5.733667477162185,0.0,4,0,1,146.581,67.69,2,2,0,9,0,167.928197133931,0.04647000000000001,36.787099999999995,1,1,1,0.0,1,
4-sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,-0.47763924301019123,0.47763924301019123,0.20749361624486215,0.8128188878939356,-0.47763924301019123,0.6923076923076923,5.106527394840706,5.969305287951849,0,1,1,201.20299999999995,97.46,2,3,2,13,0,399.8564618723235,0.03220000000000006,44.7745,1,1,0,0.0,1,
(3-bromopropyl)trimethoxysilane,CO[Si](CCCBr)(OC)OC,-0.3768250967464755,0.49966838689285387,0.2428631890400409,0.8764934836393294,-0.3768250967464755,0.45454545454545453,13.278015078357752,8.80443515703238,0,0,0,243.173,27.69,0,3,6,11,0,71.77443751081735,1.6495,49.99900000000003,0,0,0,1.0,1,
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.14391229431909255,0.14391229431909255,0.05362120400814898,0.18823598734481656,-0.14391229431909255,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,11,0,126.11730005192324,2.375000000000001,44.534500000000016,1,0,1,1.0,1,
1‐hexyl‐3‐methylimidazolium iodide,CCCCCCN1C=C[N+](=C1)C.[I-],-1.0,1.0,0.2972854806872939,1.2430288257380866,-0.23953399595467198,0.6153846153846154,23.97664012526206,0.0,2,0,1,294.17999999999995,8.809999999999999,0,0,5,13,0,207.56781608877975,-1.1030999999999977,49.750000000000036,1,1,1,0.7,1,
methacrylic acid,CC(=C)C(=O)O,-0.4778969618559836,0.4778969618559836,0.24766491766293314,0.8080603450898094,-0.4778969618559836,0.6666666666666666,5.106527394840706,5.969305287951849,0,1,1,86.08999999999999,37.3,1,1,1,6,0,66.03910001730776,0.6471,22.449799999999993,0,0,0,0.25,1,
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.4800776923593587,0.4800776923593587,0.19374888346711414,0.8003946134185278,-0.4800776923593587,0.6,15.824173392950101,5.969305287951849,1,1,2,204.22899999999996,79.11,3,2,3,15,0,473.4988967851897,1.1222999999999996,57.613900000000015,2,2,1,0.18181818181818182,1,
4-hydroxypicolinic acid,C1=CNC(=CC1=O)C(=O)O,-0.47656558658603704,0.47656558658603704,0.24992265753200893,0.8285008170269359,-0.47656558658603704,0.4,10.090505915787915,5.969305287951849,0,1,1,139.10999999999999,70.16,2,2,1,10,0,288.90666195744836,0.07309999999999994,34.02199999999999,1,1,1,0.0,1,
diphenyl carbonate,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,-0.39471884462288653,0.5189243309988207,0.20234257744356515,0.9136431756217073,-0.39471884462288653,0.8125,9.473725907600098,6.155365629538759,0,1,1,214.22,35.53,0,3,2,16,0,396.47923096156677,3.264400000000001,59.53600000000003,2,2,0,0.0,1,
