name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
Dibenzo-18-Crown-6,C1COC2=CC=CC=C2OCCOCCOC3=CC=CC=C3OCCO1,-0.4872974934790657,0.2260108664772292,-0.4872974934790657,0.5384615384615384,28.42117772280029,0.0,0,0,0,360.40600000000006,55.38000000000001,0,6,0,0,2.948800000000001,3,1,0.4
trifluoroacetamide,C(=O)(C(F)(F)F)N,-0.3618410396243154,0.2904365151911762,-0.3618410396243154,0.7142857142857143,5.733667477162185,12.08347824679498,0,1,1,113.03800000000004,43.09,1,1,0,0,0.0340000000000001,0,0,0.5
"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",C1=CC(=C(C=C1C(C2=CC(=C(C=C2)O)N)(C(F)(F)F)C(F)(F)F)N)O,-0.5057957951832727,0.2310110587672431,-0.5057957951832727,0.72,21.68038974400578,12.35259703488695,2,0,1,366.261,92.5,4,4,2,0,3.672900000000001,2,0,0.2
4-aminomethyltetrahydropyran,C1COCCC1CN,-0.3814289730549631,0.1580728851091898,-0.3814289730549631,0.75,10.470530430962237,0.0,1,0,1,115.176,35.25,1,2,1,0,0.3717,1,1,1.0
1-chlorobutane,CCCCCl,-0.126717152212131,0.0478138943896121,0.0,0.8,0.0,0.0,0,0,0,92.569,0.0,0,0,2,0,2.0253,0,0,1.0
amino trimethylene phosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,-0.3235288586841577,0.2627807530325709,-0.3235288586841577,0.625,29.36046961651485,22.787286980363657,1,0,1,299.049,175.82999999999998,6,4,6,0,-1.3060000000000005,0,0,1.0
fumaric acid,C(=C/C(=O)O)\\C(=O)O,-0.4780707501605797,0.3018741794796788,-0.4780707501605797,0.5,10.213054789681411,11.9386105759037,0,2,1,116.07199999999996,74.6,2,2,2,0,-0.2881999999999998,0,0,0.0
sodium p-toluenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],-0.7440357687000244,0.3752830187207241,-0.7440357687000244,0.75,4.552749873690364,29.557286032607934,0,0,0,194.187,57.2,0,3,1,0,-2.0968799999999987,1,0,0.1428571428571428
4′-heptyl-4-biphenylcarbonitrile,CCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,-0.1924370457539324,0.0511684016413587,-0.1924370457539324,0.9047619047619048,0.0,0.0,1,0,1,277.41100000000006,23.79,0,1,7,0,5.738180000000005,2,0,0.35
tris(pentafluorophenyl)boron,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.2040986647071263,0.1868214545138696,0.0,0.4411764705882353,0.0,0.0,0,0,0,511.98,0.0,0,0,3,0,4.2893,3,0,0.0
glutaric acid,C(CC(=O)O)CC(=O)O,-0.4812302279755882,0.2804458913028171,-0.4812302279755882,0.5555555555555556,10.213054789681411,11.9386105759037,0,2,1,132.115,74.6,2,2,4,0,0.3258999999999997,0,0,0.6
cyanuric fluoride,C1(=NC(=NC(=N1)F)F)F,-0.1613126095669318,0.2234893917430893,-0.1547262430584971,0.6666666666666666,0.0,18.23452154204648,3,0,1,135.048,38.67,0,3,0,0,0.2889,1,1,0.0
melamine,C1(=NC(=NC(=N1)N)N)N,-0.367590742812541,0.2475203978472802,-0.367590742812541,0.6666666666666666,17.201002431486554,0.0,6,0,1,126.12300000000003,116.73,3,6,0,0,-1.3818,1,1,0.0
cyanuric acid,C1(=O)NC(=O)NC(=O)N1,-0.2589866878617636,0.2752874092213246,-0.2589866878617636,0.6666666666666666,0.0,17.06923019461042,0,0,0,129.075,98.57999999999998,3,3,0,0,-2.2485000000000004,1,1,0.0
cyanuric chloride,C1(=NC(=NC(=N1)Cl)Cl)Cl,-0.1868323652177842,0.1715564918448043,-0.1868323652177842,0.6666666666666666,0.0,0.0,3,0,1,184.413,38.67,0,3,0,0,1.8318,1,1,0.0
thiocyanuric acid,C1(=S)NC(=S)NC(=S)N1,-0.3092689541768409,0.1994069682639583,-0.3092689541768409,0.6666666666666666,14.951935562841626,0.0,0,0,0,177.27900000000002,47.37,3,3,0,0,1.8593699999999995,1,1,0.0
hydrogen octylphosphonate potassium,CCCCCCCCP(=O)(O)[O-].[K+],-0.7786237793660733,0.3752359971681021,-0.7786237793660733,0.7692307692307693,14.35187149043628,51.38453490628663,0,0,0,232.301,60.36,1,2,7,0,-1.1033999999999988,0,0,1.0
"3,5-bis(trifluoromethyl)benzoic acid",C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=O)O,-0.4776389469153638,0.2317396191826536,-0.4776389469153638,0.6470588235294118,5.106527394840706,18.3219023228388,0,1,1,258.117,37.3,1,1,1,0,3.422400000000001,1,0,0.2222222222222222
4-(aminomethyl) benzonitrile,C1=CC(=CC=C1CN)C#N,-0.3264974947680455,0.1156025135922576,-0.3264974947680455,0.7,5.733667477162185,0.0,2,0,1,132.166,49.81,1,2,1,0,1.01698,1,0,0.125
benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.3264975066178272,0.0912832823517529,-0.3264975066178272,0.8888888888888888,5.733667477162185,0.0,1,0,1,235.068,26.02,1,1,1,0,1.7633,1,0,0.1428571428571428
4-chlorobenzylammonium iodide,C1=CC(=CC=C1C[NH3+])Cl.[I-],-1.0,0.3055261011846132,-0.3538083142609375,0.7,29.710307602424244,0.0,1,0,1,269.513,27.64,1,0,1,0,-1.9141,1,0,0.1428571428571428
phenethylammonium iodide,C1=CC=C(C=C1)CCN.I,-0.3301426071948191,0.0873240242312129,-0.3301426071948191,1.0,5.733667477162185,0.0,1,0,1,249.095,26.02,1,1,2,0,1.8058,1,0,0.25
methyl 3-sulfamoylthiophene-2-carboxylate,COC(=O)C1=C(C=CS1)S(=O)(=O)N,-0.4647964528373825,0.2179305640450229,-0.4647964528373825,0.6153846153846154,4.736862953800049,5.969305287951849,0,1,1,221.259,86.46000000000001,1,5,2,0,0.1821000000000001,1,1,0.1666666666666666
2-mercaptobenzimidazole,C1=CC=C2C(=C1)NC(=S)N2,-0.3307475775312591,0.1529967788496002,-0.3307475775312591,0.7,9.967957041894415,0.0,0,0,0,150.206,31.58,2,1,0,0,2.22549,2,1,0.0
histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N,-0.4800769784103622,0.2350766840531548,-0.4800769784103622,0.4545454545454545,15.8241733929501,5.969305287951849,2,1,2,155.15699999999998,92.0,3,3,3,0,-0.6358999999999995,1,1,0.3333333333333333
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.4800776923593587,0.1937488834671141,-0.4800776923593587,0.6,15.8241733929501,5.969305287951849,1,1,2,204.229,79.11,3,2,3,0,1.1222999999999996,2,1,0.1818181818181818
tetrafluorophthalonitrile,C(#N)C1=C(C(=C(C(=C1F)F)F)F)C#N,-0.2021165047128183,0.1745388498307036,-0.1922734110836152,0.4285714285714285,0.0,0.0,2,0,1,200.094,47.58,0,2,0,0,1.98636,1,0,0.0
tris(pentafluorophenyl)borane,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.2040986647071263,0.1868214545138696,0.0,0.4411764705882353,0.0,0.0,0,0,0,511.98,0.0,0,0,3,0,4.2893,3,0,0.0
2-thiophenecarboxamide,C1=CSC(=C1)C(=O)N,-0.3649003982389731,0.183688738483075,-0.3649003982389731,0.75,5.733667477162185,0.0,0,1,1,127.168,43.09,1,2,1,0,0.8469999999999998,1,1,0.0
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.1979745904989837,0.0732656243806326,-0.1979745904989837,0.7777777777777778,0.0,0.0,1,0,1,117.15099999999998,23.79,0,1,1,0,1.75268,1,0,0.125
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.1979745875954101,0.0616091922498401,-0.1979745875954101,0.8461538461538461,0.0,0.0,1,0,1,167.21099999999996,23.79,0,1,1,0,2.9058800000000007,2,0,0.0833333333333333
4-aminobenzonitrile,C1=CC(=CC=C1C#N)N,-0.3987276572834237,0.1414361166314853,-0.3987276572834237,0.6666666666666666,5.733667477162185,0.0,2,0,1,118.139,49.81,1,2,0,0,1.1404800000000002,1,0,0.0
"1,8-octanedithiol-doped",C(CCCCS)CCCS,-0.1793639005744749,0.0579707583222488,0.0,1.0,0.0,0.0,0,0,0,178.366,0.0,2,2,7,0,3.1866000000000025,0,0,1.0
triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,-0.0622224677505278,0.0182473822017356,0.0,1.0,0.0,0.0,0,0,0,262.29200000000003,0.0,0,0,3,0,3.4448000000000016,3,0,0.0
"2,3,4,5,6-pentafluorobenzyl phosphonic acid",CC(C(C)(C)C)OP(=O)(C)OCC1=C(C(=C(C(=C1F)F)F)F)F,-0.3051523938495271,0.1809502497067411,-0.3051523938495271,0.5652173913043478,9.047494323423637,7.595762326787885,0,0,0,360.2589999999999,35.53,0,3,5,0,5.172800000000003,1,0,0.5714285714285714
1-methylimidazole,CN1C=CN=C1,-0.340567856627896,0.1630209891630256,-0.340567856627896,0.3333333333333333,4.567099647791355,0.0,2,0,1,82.106,17.82,0,1,0,0,0.4200999999999999,1,1,0.25
1-methylbenzimidazole,CN1C=NC2=CC=CC=C21,-0.3337301120474815,0.1319506373588851,-0.3337301120474815,0.6,4.567099647791355,0.0,2,0,1,132.16599999999997,17.82,0,1,0,0,1.5732999999999997,2,1,0.125
2-(2-hydroxy-5-methylphenyl)benzotriazole,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,-0.5056175024830162,0.1456244380755462,-0.5056175024830162,0.7647058823529411,5.106527394840706,0.0,3,0,1,225.251,50.94,1,3,1,0,2.43452,3,1,0.0769230769230769
4-trifluoromethyl-benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl,-0.3836821306386551,0.1842773030886839,-0.3836821306386551,0.7142857142857143,5.733667477162185,6.176298517443475,2,0,1,224.613,49.870000000000005,2,1,1,0,2.41127,1,0,0.125
benzotrifluoride,C1=CC=C(C=C1)C(F)(F)F,-0.1661375500065051,0.1629645885032103,0.0,0.8,0.0,6.176298517443475,0,0,0,146.111,0.0,0,0,0,0,2.705400000000001,1,0,0.1428571428571428
benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl,-0.3836821330878236,0.1373099192807973,-0.3836821330878236,0.8,5.733667477162185,0.0,2,0,1,156.616,49.870000000000005,2,1,1,0,1.39247,1,0,0.0
"2,5-thiophene dicarboxylic acid ",C1=C(SC(=C1)C(=O)O)C(=O)O,-0.4770495771902679,0.2712903073072106,-0.4770495771902679,0.6363636363636364,10.213054789681411,11.9386105759037,0,2,1,172.16099999999997,74.6,2,3,2,0,1.1445,1,1,0.0
N-methyl-N-(thien-2-ylmethyl)amine,CNCC1=CC=CS1,-0.3148764435679131,0.1067468957710699,-0.3148764435679131,0.75,5.316788604006331,0.0,1,0,1,127.21199999999996,12.03,1,2,2,0,1.4675,1,1,0.3333333333333333
"1,3-diphenylurea",C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,-0.307721816489395,0.143124279858532,-0.307721816489395,0.8125,10.633577208012662,6.031114512338072,0,2,1,212.252,41.13,2,1,2,0,3.3306000000000004,2,0,0.0
"1,3-ditert-butylurea",CC(C)(C)NC(=O)NC(C)(C)C,-0.333558358408082,0.1695474648941108,-0.333558358408082,0.75,10.633577208012662,6.031114512338072,0,2,1,172.272,41.13,2,1,0,0,1.8826,0,0,0.8888888888888888
thymine,CC1=CNC(=O)NC1=O,-0.3138499072175502,0.224040390661395,-0.3138499072175502,0.5555555555555556,4.9839785209472085,5.689743398203474,0,0,0,126.115,65.72,2,2,0,0,-0.6283800000000002,1,1,0.2
3-Ammonium Propionic Acid,C(CN)C(=O)O.I,-0.481195254586476,0.2445250457898954,-0.481195254586476,0.5714285714285714,10.84019487200289,5.969305287951849,1,1,2,217.006,63.32000000000001,2,2,2,0,0.0378,0,0,0.6666666666666666
methylphosphonic acid,CP(=O)(O)O,-0.3246140003873127,0.2543504998751039,-0.3246140003873127,0.6,9.78682320550495,7.595762326787885,0,0,0,96.022,57.53,2,1,0,0,-0.2061,0,0,1.0
di-5-(1-methyltetrazole) disulfide,CN1C(=NN=N1)SSC2=NN=NN2C,-0.2228815202747193,0.1247011562516375,-0.2228815202747193,0.7142857142857143,0.0,0.0,8,0,1,230.282,87.19999999999999,0,8,3,0,-0.4670000000000003,2,2,0.5
4-bromo-benzonitrile,C1=CC(=CC=C1C#N)Br,-0.1924370410810625,0.0770037263068883,-0.1924370410810625,0.6666666666666666,0.0,0.0,1,0,1,182.02,23.79,0,1,0,0,2.32078,1,0,0.0
D-pentafluorophenylalanine,C(C1=C(C(=C(C(=C1F)F)F)F)F)[C@H](C(=O)O)N,-0.4800776789689105,0.225079366857154,-0.4800776789689105,0.4705882352941176,10.84019487200289,5.969305287951849,1,1,2,255.142,63.31999999999999,2,2,3,0,1.3365,1,0,0.2222222222222222
"3-ethylbenzo[d]isothiazole 1,1-dioxide",CCC1=NS(=O)(=O)C2=CC=CC=C21,-0.1992513439198443,0.1252415243235957,-0.1992513439198443,0.6923076923076923,0.0,0.0,0,0,0,195.243,46.5,0,2,1,0,1.588,2,1,0.2222222222222222
trifluorothymine,C1=C(C(=O)NC(=O)N1)C(F)(F)F,-0.3134976415916669,0.2496896894352102,-0.3134976415916669,0.5833333333333334,4.9839785209472085,11.86604191564695,0,0,0,180.08499999999995,65.72,2,2,0,0,0.0819999999999999,1,1,0.2
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,-0.4320284473802694,0.1801080795137786,-0.4320284473802694,0.6,9.473725907600098,5.969305287951849,0,1,1,282.336,53.99000000000001,0,5,0,0,2.3949000000000007,5,4,0.9333333333333332
Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,-0.4812189287946972,0.2048198090752664,-0.4812189287946972,0.5925925925925926,19.31711625624085,11.9386105759037,0,2,1,384.4250000000001,100.52,1,7,4,0,2.6024000000000003,5,4,0.8947368421052632
Dihydroartemisinin ,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,-0.3676044643458322,0.1617016769712684,-0.3676044643458322,0.65,14.580253302440804,0.0,0,0,0,284.3519999999999,57.150000000000006,1,5,0,0,2.1867,5,4,1.0
acetic acid,CC(=O)O,-0.481433475172105,0.2943157026262166,-0.481433475172105,0.5,5.106527394840706,0.0,0,1,1,60.05200000000001,37.3,1,1,0,0,0.0908999999999999,0,0,0.5
pyridine,C1=CC=NC=C1,-0.264736970888988,0.0978813970462416,-0.264736970888988,0.6666666666666666,0.0,0.0,1,0,1,79.10199999999998,12.89,0,1,0,0,1.0816,1,1,0.0
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,-0.2546211197806089,0.1059412586358327,-0.2546211197806089,0.6666666666666666,0.0,0.0,2,0,1,156.188,25.78,0,2,1,0,2.1436,2,2,0.0
"2,2':6',2''-Terpyridine",C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,-0.2546206397601626,0.1082099883621333,-0.2546206397601626,0.6666666666666666,0.0,0.0,3,0,1,233.27400000000003,38.67,0,3,2,0,3.2056000000000013,3,3,0.0
Dithizone,C1=CC=C(C=C1)NNC(=S)N=NC2=CC=CC=C2,-0.2989493734924951,0.1144891541959834,-0.2989493734924951,0.8333333333333334,0.0,0.0,4,0,1,256.334,48.78,2,3,3,0,3.671900000000001,2,0,0.0
Glycine,C(C(=O)O)N,-0.4802971300243957,0.2907243924090027,-0.4802971300243957,0.6,10.84019487200289,5.969305287951849,1,1,2,75.06700000000001,63.31999999999999,2,2,1,0,-0.9703,0,0,0.5
4-chlorobenzoic acid,C1=CC(=CC=C1C(=O)O)Cl,-0.4776392409451694,0.1977558273342976,-0.4776392409451694,0.7,5.106527394840706,5.969305287951849,0,1,1,156.56799999999998,37.3,1,1,1,0,2.0382,1,0,0.0
2-hydroxyethyl acrylate,C=CC(=O)OCCO,-0.4601014173818816,0.2525095220155585,-0.4601014173818816,0.5,9.843390348640757,5.969305287951849,0,1,1,116.116,46.53,1,3,3,0,-0.2921000000000001,0,0,0.4
4-methoxyphenylacetic acid,COC1=CC=C(C=C1)CC(=O)O,-0.4967682154661269,0.225494662892428,-0.4967682154661269,0.6666666666666666,9.843390348640757,5.969305287951849,0,1,1,166.176,46.53,1,2,3,0,1.3223,1,0,0.2222222222222222
2-methylimidazole,CC1=NC=CN1,-0.3488257917132755,0.1646072959486987,-0.3488257917132755,0.5,4.9839785209472085,0.0,1,0,1,82.106,28.68,1,1,0,0,0.7181199999999999,1,1,0.25
perylenediimide,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O,-0.2881416716408688,0.155789234515833,-0.2881416716408688,0.6666666666666666,0.0,0.0,0,4,1,390.3540000000001,92.34,2,4,0,0,3.504400000000003,7,2,0.0
phenylbenzimidazole sulfonic acid,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,-0.3379141164057547,0.1495024833263662,-0.3379141164057547,0.6842105263157895,4.9839785209472085,0.0,1,0,1,274.301,83.05,2,3,2,0,2.4765999999999995,3,1,0.0
N-(4-acetylphenyl)maleimide,CC(=O)C1=CC=C(C=C1)N2C(=O)C=CC2=O,-0.2945121855880979,0.1667412086526801,-0.2945121855880979,0.5625,0.0,0.0,0,3,1,215.208,54.45,0,3,2,0,1.3185999999999998,2,1,0.0833333333333333
4-fluoroaniline,C1=CC(=CC=C1N)F,-0.3987260786638387,0.1503238766745539,-0.3987260786638387,0.75,5.733667477162185,0.0,1,0,1,111.119,26.02,1,1,0,0,1.4079000000000002,1,0,0.0
Dithiooxamide,C(=S)(C(=S)N)N,-0.3875248031064671,0.2142240063704844,-0.3875248031064671,0.6666666666666666,11.46733495432437,0.0,2,0,1,120.20200000000004,52.04,2,2,0,0,-0.4413999999999999,0,0,0.0
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,-0.5079662192772983,0.1941695393773536,-0.5079662192772983,0.6666666666666666,5.106527394840706,0.0,0,1,1,122.12299999999996,37.3,1,2,1,0,1.2046999999999997,1,0,0.0
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,-0.4800862864621305,0.2559693158765526,-0.4800862864621305,0.55,26.58029947485626,11.9386105759037,1,4,2,307.32800000000003,158.82000000000002,6,6,9,0,-2.2060999999999984,0,0,0.6
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.1979745904989837,0.0732656243806326,-0.1979745904989837,0.7777777777777778,0.0,0.0,1,0,1,117.15099999999998,23.79,0,1,1,0,1.75268,1,0,0.125
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.1979745875954101,0.0616091922498401,-0.1979745875954101,0.8461538461538461,0.0,0.0,1,0,1,167.21099999999996,23.79,0,1,1,0,2.9058800000000007,2,0,0.0833333333333333
"4-(N, N-Diphenylamino) benzaldehyde",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=O,-0.3105059188198001,0.0981915219379757,-0.3105059188198001,0.7619047619047619,4.899909730850478,0.0,1,1,2,273.33500000000004,20.31,0,2,4,0,4.968900000000003,3,0,0.0
4-Biphenylcarbaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,-0.2978964056982024,0.0877689196168304,-0.2978964056982024,0.8571428571428571,0.0,0.0,0,1,1,182.222,17.07,0,1,2,0,3.166100000000002,2,0,0.0
4-Acetylbiphenyl,CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,-0.2945122011819396,0.0865857331894865,-0.2945122011819396,0.8666666666666667,0.0,0.0,0,1,1,196.249,17.07,0,1,2,0,3.5562000000000022,2,0,0.0714285714285714
4-Aminobenzenesulfonic acid,C1=CC(=CC=C1N)S(=O)(=O)O,-0.3987277131397739,0.180236203523235,-0.3987277131397739,0.7272727272727273,5.733667477162185,0.0,1,0,1,173.19299999999998,80.39,2,3,1,0,0.5154999999999998,1,0,0.0
sulfamide ,NS(=O)(=O)N,-0.2159291710681109,0.1910678342710138,-0.2159291710681109,0.8,0.0,0.0,0,0,0,96.111,86.18,2,2,0,0,-1.8514,0,0,0.0
L-aspartate,C([C@@H](C(=O)O)N)C(=O)O,-0.481175383236989,0.2978619523786492,-0.481175383236989,0.5555555555555556,15.946722266843596,11.9386105759037,1,2,2,133.103,100.62,3,3,3,0,-1.1269999999999998,0,0,0.5
tri(2-thienyl)benzene,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4,-0.1438436368419918,0.0513842235664252,0.0,0.8571428571428571,0.0,0.0,0,0,0,324.495,0.0,0,3,3,0,6.872100000000004,4,3,0.0
"2-[N,N-bi(trifluoromethylsulfonyl)amino]pyridine",C1=CC=NC(=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,-0.2371859263349524,0.236815797084133,-0.2371859263349524,0.7142857142857143,0.0,31.06324330934368,1,0,1,358.241,84.41,0,5,3,0,1.5872000000000002,1,1,0.2857142857142857
oteracil potassium,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+],-0.541547015427677,0.4230172454698642,-0.541547015427677,0.5833333333333334,9.901064578912528,62.76402170269358,1,1,2,195.17499999999995,118.74,2,5,1,0,-6.174300000000001,1,1,0.0
potassium cinnamate,C1=CC=C(C=C1)C=CC(=O)[O-].[K+],-0.5454669718268075,0.3657860305672634,-0.5454669718268075,0.8333333333333334,9.901064578912528,51.38453490628663,0,1,1,186.251,40.13,0,2,2,0,-2.5462999999999987,1,0,0.0
D-2-Aminobutanedioic acid,C(C(C(=O)O)N)C(=O)O,-0.481175383236989,0.2978619523786492,-0.481175383236989,0.5555555555555556,15.946722266843596,11.9386105759037,1,2,2,133.103,100.62,3,3,3,0,-1.1269999999999998,0,0,0.5
"3,4,5,6-tetrafluorophthalic acid",C1(=C(C(=C(C(=C1F)F)F)F)C(=O)O)C(=O)O,-0.4775412968520466,0.2640903582107675,-0.4775412968520466,0.5,10.213054789681411,11.9386105759037,0,2,1,238.092,74.6,2,2,2,0,1.6394000000000002,1,0,0.0
502 adhesive,CCOC(=O)C(=C)C#N,-0.4618838282515298,0.2264677910000291,-0.4618838282515298,0.5555555555555556,4.736862953800049,5.969305287951849,1,1,2,125.127,50.09,0,3,2,0,0.6292800000000001,0,0,0.3333333333333333
"3,5-difluorobenzenesulfonamide",C1=C(C=C(C=C1F)S(=O)(=O)N)F,-0.2246253160922838,0.1580402154350883,-0.2246253160922838,0.5833333333333334,0.0,0.0,0,0,0,193.174,60.16,1,2,1,0,0.6122000000000003,1,0,0.0
"2,6-difluorobenzenesulfonamide",C1=CC(=C(C(=C1)F)S(=O)(=O)N)F,-0.2244409635205838,0.1662978799000056,-0.2244409635205838,0.6666666666666666,0.0,0.0,0,0,0,193.17399999999995,60.16,1,2,1,0,0.6122000000000003,1,0,0.0
2-chlorothiazole-4-carboxylic acid,C1=C(N=C(S1)Cl)C(=O)O,-0.4764867053382339,0.2402998420601407,-0.4764867053382339,0.5555555555555556,5.106527394840706,5.969305287951849,1,1,2,163.585,50.19,1,3,1,0,1.4947,1,1,0.0
"2,5-thiophenedicarboxylic acid",C1=C(SC(=C1)C(=O)O)C(=O)O,-0.4770495771902679,0.2712903073072106,-0.4770495771902679,0.6363636363636364,10.213054789681411,11.9386105759037,0,2,1,172.16099999999997,74.6,2,3,2,0,1.1445,1,1,0.0
phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,-0.4800777002034423,0.1937115069997252,-0.4800777002034423,0.8333333333333334,10.84019487200289,5.969305287951849,1,1,2,165.19199999999998,63.31999999999999,2,2,3,0,0.641,1,0,0.2222222222222222
phenylphosphonic acid,C1=CC=C(C=C1)P(=O)(O)O,-0.3210391490269411,0.1898160563214276,-0.3210391490269411,0.8,9.78682320550495,7.595762326787885,0,0,0,158.093,57.53,2,1,1,0,0.4895999999999998,1,0,0.0
"furan-2,5-dicarboxylic acid",C1=C(OC(=C1)C(=O)O)C(=O)O,-0.4753728946230654,0.3137574083199722,-0.4753728946230654,0.6363636363636364,14.63020572673476,11.9386105759037,0,2,1,156.09299999999996,87.74,2,3,2,0,0.676,1,1,0.0
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,-0.4800862864621305,0.2559693158765526,-0.4800862864621305,0.55,26.58029947485626,11.9386105759037,1,4,2,307.32800000000003,158.82000000000002,6,6,9,0,-2.2060999999999984,0,0,0.6
l-Theanine,CCNC(=O)CC[C@@H](C(=O)O)N,-0.4800862864621434,0.2360502378827688,-0.4800862864621434,0.5833333333333334,16.156983476009223,5.969305287951849,1,2,2,174.2,92.42,3,3,5,0,-0.6853999999999989,0,0,0.7142857142857143
Malonamide,C(C(=O)N)C(=O)N,-0.3692314443218015,0.2566281428238656,-0.3692314443218015,0.5714285714285714,11.46733495432437,0.0,0,2,1,102.093,86.18,2,2,2,0,-1.6528999999999998,0,0,0.3333333333333333
5-(Fmoc-amino) valeric acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NCCCCC(=O)O,-0.4812303832060013,0.1868549216225811,-0.4812303832060013,0.76,15.160178952647083,12.062545358890263,0,2,1,339.39100000000013,75.63,2,3,7,0,3.780000000000001,3,0,0.3
