name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.4535950776302087,0.186997902141262,-0.4535950776302087,0.6666666666666666,14.373635638450576,0.0,0,1,1,285.3430000000001,38.77,0,3,3,0,2.997200000000001,3,2,0.3529411764705882
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.3703335316561106,0.2425074577640114,-0.3703335316561106,0.7692307692307693,22.93466990864874,10.399000581649606,6,0,1,216.22300000000004,226.38,8,4,0,0,-2.9756599999999995,0,0,0.0
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.1439122943190925,0.0536212040081489,-0.1439122943190925,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,0,2.375000000000001,1,1,1.0
ethylammonium,CCN.[N+](=O)(O)[O-],-0.3307484184390755,0.1957527234393954,-0.3307484184390755,0.8571428571428571,10.940920501939477,0.0,2,0,1,108.09699999999998,89.39,2,3,0,0,-0.3826999999999995,0,0,1.0
imidazolium,C1=C[NH+]=CN1,-0.2503460668537822,0.2070369753432923,-0.2503460668537822,0.4,0.0,0.0,0,0,0,69.08699999999999,29.93,1,0,0,1,-0.1711999999999999,1,1,0.0
guanidinium iodide,C(=N)(N)N.I,-0.3703335316561106,0.2083051993098358,-0.3703335316561106,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,0,-0.5434300000000001,0,0,0.0
acrylamide monomer,C=CC(=O)N,-0.3661333301605154,0.2120219684042852,-0.3661333301605154,0.8,5.733667477162185,0.0,0,1,1,71.07900000000001,43.09,1,1,1,0,-0.3423,0,0,0.0
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],-1.0,0.1750096268893343,-0.3236090813636051,0.8823529411764706,16.8900640188746,0.0,1,0,1,502.35600000000056,0.0,0,0,28,0,8.249200000000007,0,0,1.0
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,-0.2881416866001972,0.1557483439927359,-0.2881416866001972,0.6666666666666666,0.0,0.0,0,2,1,197.193,46.17,1,2,0,0,1.7233999999999998,3,1,0.0
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,-0.2881416716408688,0.1216535233608869,-0.2881416716408688,0.8,0.0,0.0,0,2,1,321.33500000000004,46.17,1,2,0,0,4.620800000000003,6,1,0.0
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.33872132070702,0.2265492083726775,-0.33872132070702,0.4615384615384615,4.9839785209472085,5.689743398203474,3,0,1,180.167,72.68,1,3,0,0,-1.0397000000000003,2,2,0.2857142857142857
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.3278634660994821,0.217994187230126,-0.3278634660994821,0.4285714285714285,4.567099647791355,5.689743398203474,4,0,1,194.194,61.82,0,3,0,0,-1.0293,2,2,0.375
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,-0.3278697741177671,0.2259165922744201,-0.3278697741177671,0.4615384615384615,4.567099647791355,5.689743398203474,3,0,1,180.167,72.68,1,3,0,0,-1.0397,2,2,0.2857142857142857
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,-0.3298319763651285,0.2375197671271643,-0.3298319763651285,0.5714285714285714,15.520490682667134,7.595762326787885,1,0,1,125.06399999999998,83.55,3,2,2,0,-0.8772000000000002,0,0,1.0
hypotaurine,C(CS(=O)O)N,-0.329469084637712,0.1885699412964631,-0.329469084637712,0.5,10.286417350852547,0.0,1,0,1,109.15,63.31999999999999,2,2,2,0,-0.8331999999999997,0,0,1.0
